COMPANY,TICKER,RETURN,REV,LnREV,PRICEIPO
Restoration Hardware,RSTO,-0.348684211,97.9,4.58394655,19
PBOC Holdings,PBOC,-0.35,130.979,4.875037005,13.75
Cowlitz Bancorporation,CWLZ,-0.369791667,15.086,2.713767161,12
Manhattan Associates,MANH,-0.375,32.457,3.479916136,15
"DA Consulting Group, Inc.",DACG,-0.379310345,,,14.5
HLM Design,HLMD,-0.385416667,26.75471,3.286710533,6
United Road Services,URSI,-0.408653846,46.542,3.840355131,13
Balance Bar Company,BBAR,-0.446428571,39.634,3.679687336,10.5
Sauer,SHS,-0.447916667,535.173,6.282590059,18
"Blue River Bancshares, Inc.",BRBI,-0.447916667,7.092,1.958967388,12
Hawk Corp.,HWK,-0.448529412,159.086,5.069444937,17
Master Graphics,MAGR,-0.45,153.971,5.036764273,10
Transnational Financial,TFN,-0.456896552,3.189937,1.160001167,7.25
Horizon Offshore,HOFF,-0.461538462,36.144,3.58751096,13
Cavanaughs Hospitality Corp.,CVH,-0.466666667,77.382,4.348754195,15
First Virtual Corp.,FVCX,-0.471153846,18.771,2.932313126,13
Gerber Childrenswear,GCW,-0.495192308,270.1,5.598792261,13
V.I. Technologies,VITX,-0.510416667,17.067,2.837146774,12
Technisource,TSRC,-0.511363636,67.327,4.209561345,11
Ontro,ONTR,-0.522727273,,,5.5
Horizon Medical Products,HMPS,-0.525862069,22.818,3.127549698,14.5
The Ultimate Software,ULTI,-0.55,17.592,2.867444253,10
Transportation Components,TUI,-0.5625,207.588,5.335555346,8
LMI Aerospace,LMIA,-0.5625,55.08,4.008786674,10
"Asymetrix Learning Systems, Inc.",ASYM,-0.568181818,33.92,3.524004811,11
Ursus Telecom,UTTC,-0.572368421,20.838,3.036778243,9.5
Interplay Entertainment,IPLY,-0.579545455,83.262,4.421992263,5.5
Onix Systems,ONX,-0.594827586,121.525,4.800120003,14.5
"Combichem, Inc.",CCHM,-0.6015625,7.471,2.011028859,8
"Conrad Industries, Inc.",CNRD,-0.614583333,22.117,3.096346544,12
Omega Protein,OME,-0.6171875,85.599,4.449673601,16
United Panam Financial,UPFC,-0.619318182,,,11
"Clarion Commercial Holdings, Inc.",CLR,-0.64375,,,20
SCC Communications,SCCX,-0.645833333,27.072,3.298499983,12
Industrial Rubber Products,INRB,-0.65,14.421359,2.668710372,5
"Evolving Systems, Inc.",EVOL,-0.683035714,42.72,3.754667195,14
"Atlantic Data Services, Inc.",ADSC,-0.697115385,42.83,3.757238792,13
Iomed,IOX,-0.7,9.283,2.22818477,7.5
Unicapital,UCP,-0.700657895,238.449,5.474155451,19
"Caliber Learning Network, Inc.",CLBR,-0.714285714,1.199293,0.181732217,14
Ribogene,RBO,-0.723214286,2.971,1.088898596,7
"Comman Systems, Inc.",CMND,-0.802083333,25.057,3.22115323,12
"Aspec Technology, Inc.",ASPC,-0.9375,22.392,3.108703752,13
