FILINGS,POPLAWYR,VEHCMILE,HOSPCOST,GSTATEP,POPDENSY,AGEGROUP,WCMPMAX,URBAN,UNEMPLOY,MEDIANIN,JSLIAB,COLLRULE,CAPS,PUNITIVE,TIME,STATE,State,Population,NumFile
165.90,439,146,400.99,40716,29.90,59.5,239,50.1,5.0,31114,0,0,0,0,2,8,Kansas,2450,4061
173.80,432,149,407.00,41777,30.00,60.3,247,52.0,5.4,32512,0,0,0,0,3,8,Kansas,2460,4273
177.00,424,155,422.28,43956,30.20,60.1,256,52.8,4.9,34474,0,0,1,1,4,8,Kansas,2476,4380
184.10,417,159,448.33,46615,30.50,60.3,263,53.4,4.8,35796,0,1,1,1,5,8,Kansas,2495,4595
179.60,410,165,476.70,48829,30.70,60.1,271,53.8,4.0,37938,0,1,1,1,6,8,Kansas,2513,4513
180.00,473,426,368.28,14758,37.50,60.4,448,36.0,6.1,26237,0,0,0,0,1,9,Maine,1156,2083
178.00,457,423,393.79,16008,37.70,60.7,448,36.1,5.4,28537,0,0,0,0,2,9,Maine,1164,2072
174.40,441,455,410.20,17660,38.00,60.9,448,36.1,5.3,31297,0,0,0,0,3,9,Maine,1173,2044
150.60,426,491,435.76,19898,38.40,61.1,448,36.1,4.4,31957,0,0,0,0,4,9,Maine,1187,1786
147.30,412,518,475.20,22129,39.10,61.4,448,36.1,3.8,35385,0,0,0,0,5,9,Maine,1205,1776
159.60,398,528,523.66,23474,39.60,61.6,472,35.9,4.1,38336,0,0,0,0,6,9,Maine,1222,1950
248.90,346,1156,395.33,64461,444.90,64.8,327,93.0,5.4,38132,0,0,0,0,1,10,Maryland,4349,10826
230.40,338,1209,442.72,70855,449.40,64.6,344,92.9,4.6,40055,0,0,0,0,2,10,Maryland,4392,10120
277.20,331,1271,478.15,77385,456.60,64.5,365,92.9,4.5,42250,0,0,1,0,3,10,Maryland,4463,12373
285.20,323,1304,516.36,84623,464.10,64.5,382,92.9,4.2,46384,0,0,1,0,4,10,Maryland,4535,12938
306.30,316,1330,579.47,92707,473.20,64.4,407,92.9,4.5,49105,0,0,1,0,5,10,Maryland,4624,14170
304.10,309,1366,623.75,99074,480.20,64.4,432,92.8,3.7,50145,0,0,1,0,6,10,Maryland,4694,14274
255.90,450,540,454.87,131389,159.50,61.5,358,80.3,11.2,32365,0,0,0,0,1,11,Michigan,9075,
251.00,444,573,507.37,143285,160.00,61.5,375,80.2,9.9,33908,0,0,0,0,2,11,Michigan,9088,22811
356.70,438,612,564.42,153217,160.90,61.6,391,80.2,8.8,36088,1,1,0,0,3,11,Michigan,9144,32612
323.20,433,643,607.34,160930,162.10,61.8,397,80.2,8.2,40105,1,1,0,0,4,11,Michigan,9200,29756
335.10,427,661,643.92,172653,162.70,61.8,409,79.9,7.6,41044,1,1,0,0,5,11,Michigan,9239,30966
352.20,422,677,675.12,181827,163.20,61.8,427,80.1,7.1,42825,1,1,0,0,6,11,Michigan,9274,32663
199.30,425,103,284.14,11753,5.70,59.8,286,24.3,7.4,26072,0,0,0,0,1,12,Montana,824,1640
226.70,411,106,312.24,11460,5.70,59.8,293,24.3,7.7,27999,0,0,0,0,2,12,Montana,826,1870
224.70,398,107,324.35,11497,5.60,59.7,299,24.4,8.1,29190,0,0,0,0,3,12,Montana,819,1836
221.50,385,113,330.69,11771,5.60,59.7,299,24.2,7.4,31015,1,1,0,1,4,12,Montana,809,1792
191.40,373,113,353.55,12178,5.50,59.8,299,24.2,6.8,32333,1,1,0,1,5,12,Montana,805,1541
200.10,361,116,378.21,13104,5.50,59.8,299,23.9,5.9,33882,1,1,0,1,6,12,Montana,805,1613
555.00,337,1544,346.00,132825,1013.00,62.8,269,100.0,6.2,39096,0,0,0,0,1,13,New Jersey,7515,41722
556.80,323,1567,400.27,144978,1020.00,62.7,284,100.0,5.7,40800,0,0,0,0,2,13,New Jersey,7562,42141
597.30,309,1629,431.32,158745,1028.00,63.1,302,100.0,5.0,44591,0,0,0,0,3,13,New Jersey,7620,45547
608.10,296,1679,452.29,174714,1035.00,63.1,320,100.0,4.0,47846,1,1,0,1,4,13,New Jersey,7672,46671
728.00,283,1716,509.50,193034,1040.00,63.2,342,100.0,3.8,52305,1,1,0,1,5,13,New Jersey,7720,56186
752.20,271,1749,567.92,203375,1043.00,63.1,370,100.0,4.1,53229,1,1,0,1,6,13,New Jersey,7736,58193
213.50,253,794,380.60,306928,375.40,62.5,275,90.4,7.2,32665,0,0,0,0,1,14,New York,17735,37847
200.10,244,823,419.30,332461,376.20,62.7,300,90.5,6.5,34478,0,0,0,0,2,14,New York,17783,35549
179.80,236,860,463.83,358767,377.10,62.6,300,90.5,6.3,36796,1,1,0,0,3,14,New York,17772,32011
192.00,227,889,493.69,384983,377.70,62.5,300,90.5,4.9,38992,1,1,0,0,4,14,New York,17825,34249
171.50,219,938,529.68,419903,379.20,62.7,300,91.2,4.2,41700,1,1,0,0,5,14,New York,17910,30709
346.50,211,956,581.74,441068,380.10,62.7,300,91.1,5.1,43693,1,1,0,0,6,14,New York,17950,29922
80.10,537,63,296.93,10972,10.00,58.5,285,36.4,5.1,28901,0,0,0,0,1,15,North Dakota,686,550
74.70,532,63,321.59,10762,9.90,58.5,291,36.4,5.9,28993,0,0,0,0,2,15,North Dakota,685,512
82.60,528,65,344.57,10001,9.80,59.1,296,37.3,6.3,29424,0,0,0,0,3,15,North Dakota,679,561
82.00,523,66,366.56,10193,9.70,58.9,299,38.0,5.2,31152,1,1,0,1,4,15,North Dakota,672,551
82.80,519,67,376.75,10042,9.70,59.1,306,38.4,4.8,31346,1,1,0,1,5,15,North Dakota,667,552
91.20,515,68,396.18,11231,9.60,59.1,313,40.3,4.3,34806,1,1,0,1,6,15,North Dakota,661,602
205.70,399,670,428.42,158529,263.00,61.4,354,78.8,9.4,30779,0,0,0,0,1,16,Ohio,10752,22149
236.80,395,669,493.25,167648,263.10,61.2,365,78.8,8.9,33478,0,0,0,0,2,16,Ohio,10744,25518
261.90,391,718,532.69,177159,263.20,61.2,376,78.8,8.1,34038,0,0,0,0,3,16,Ohio,10753,28225
271.60,388,706,571.55,186385,264.10,61.2,385,78.9,7.0,36344,1,1,0,1,4,16,Ohio,10784,29375
263.40,384,724,612.13,201478,265.30,61.4,400,78.9,6.0,38145,1,1,0,1,5,16,Ohio,10855,28614
266.20,380,744,668.75,211545,266.30,61.3,419,79.0,5.5,41469,1,1,0,1,6,16,Ohio,10908,29039
212.80,418,494,399.40,290562,61.40,61.0,203,80.2,5.9,31031,0,0,0,0,1,17,Texas,15989,34224
230.00,410,508,460.98,307828,62.50,61.3,217,80.5,7.0,32189,0,0,0,0,2,17,Texas,16370,37596
229.20,402,519,517.14,295074,63.70,61.0,224,80.7,8.9,32442,0,0,0,0,3,17,Texas,16685,38238
243.00,395,515,565.15,302862,64.10,60.6,231,81.0,8.4,35656,1,0,0,1,4,17,Texas,16789,40761
217.40,388,521,628.21,322125,64.30,60.5,238,81.3,7.3,35280,1,0,0,1,5,17,Texas,16840,36597
216.10,381,522,685.08,340057,64.90,60.8,238,81.6,6.7,34978,1,0,0,1,6,17,Texas,16991,36710
88.30,484,241,499.58,21988,19.80,54.4,310,76.6,6.5,27497,0,0,0,0,1,18,Utah,1652,1433
75.70,479,248,556.48,23525,20.00,54.8,323,76.8,5.9,29634,0,0,0,0,2,18,Utah,1645,1245
151.90,474,243,605.10,23985,20.30,54.8,329,77.0,6.0,30635,1,0,0,0,3,18,Utah,1665,2527
79.50,469,255,646.62,24622,20.40,54.4,335,77.2,6.4,32980,1,0,0,0,4,18,Utah,1680,1335
83.00,464,310,737.33,26450,20.60,54.3,344,77.4,4.9,34410,1,0,0,0,5,18,Utah,1688,1404
72.20,459,324,773.65,28135,20.80,54.4,355,77.5,4.6,36562,1,0,0,0,6,18,Utah,1707,1233
206.90,384,424,484.38,67493,65.30,62.1,256,80.7,9.5,31585,0,0,0,0,1,19,Washington,4349,8997
221.20,378,424,545.94,69857,66.20,61.8,261,80.9,8.1,32791,0,0,0,0,2,19,Washington,4409,9747
437.50,372,447,614.50,75970,67.00,62.4,272,81.0,8.2,35071,1,0,1,0,3,19,Washington,4463,19515
176.30,366,484,630.11,81503,68.20,62.4,282,81.2,7.6,38308,1,0,1,0,4,19,Washington,4538,8007
188.00,360,513,707.63,87864,69.90,62.6,384,81.6,6.2,39327,1,0,1,0,5,19,Washington,4648,8746
213.10,354,531,746.14,96233,71.50,62.5,428,81.7,6.2,41728,1,0,0,0,6,19,Washington,4760,10146
