"claims","logclaims"
1896,7.54750168281497
1920,7.56008046502183
1923,7.56164174558878
1960,7.58069975222456
1972,7.58680353516258
1990,7.59588991771854
2005,7.60339933974067
2018,7.60986220091355
2020,7.61085279039525
2020,7.61085279039525
2030,7.61579107203583
2062,7.63143166457691
2063,7.63191651307125
2080,7.64012317269536
2087,7.6434829070772
2089,7.64444076155657
2100,7.64969262371151
2115,7.65681009148038
2120,7.65917136766606
2155,7.67554600253785
2159,7.67740043051481
2161,7.67832635650689
2188,7.69074316354187
2191,7.69211333959547
2196,7.69439280262942
2224,7.70706265537047
2237,7.71289096149013
2253,7.72001794043224
2288,7.73543335249969
2295,7.73848812249465
2318,7.7484600238997
2325,7.75147531802146
2335,7.755767170103
2341,7.75833346749091
2350,7.7621706071382
2374,7.77233157516961
2390,7.77904864492556
2406,7.78572089653462
2434,7.79729127354747
2450,7.80384330353877
2468,7.81116338502528
2480,7.81601383915903
2498,7.82324569068552
2500,7.82404601085629
2500,7.82404601085629
2510,7.82803803212583
2532,7.83676478326407
2540,7.83991936001258
2543,7.84109976542212
2559,7.84737183615979
2572,7.85243908535751
2593,7.86057078553866
2601,7.86365126544865
2616,7.86940171257709
2619,7.87054784450771
2630,7.87473912517181
2635,7.87663846097546
2635,7.87663846097546
2653,7.88344635413774
2655,7.88419993367604
2675,7.89170465933011
2679,7.89319886954461
2697,7.89989532313973
2718,7.90765159471109
2730,7.91205688817901
2734,7.91352101728389
2755,7.92117272158701
2758,7.92226105835325
2773,7.92768504561578
2775,7.92840602618053
2780,7.93020620668468
2795,7.9355873855892
2805,7.9391588179568
2805,7.9391588179568
2880,7.96554557312999
2881,7.96589273508453
2930,7.98275770201111
2940,7.98616486033273
2972,7.99699040583765
2975,7.99799931797973
3000,8.00636756765025
3025,8.01466637046494
3058,8.02551638648901
3085,8.03430693633949
3095,8.0375431851187
3100,8.03915739047324
3106,8.04109100370863
3135,8.05038445306702
3170,8.06148686687133
3187,8.06683531441734
3193,8.06871619271478
3200,8.07090608878782
3210,8.07402621612406
3230,8.0802374162167
3230,8.0802374162167
3232,8.08085641964099
3235,8.081784206935
3249,8.0861025356691
3260,8.08948247436075
3261,8.08978917578932
3290,8.09864284375942
3295,8.10016144693661
3304,8.10288913464087
3333,8.11162807830774
3338,8.11312710422178
3340,8.11372608597075
3360,8.11969625295725
3416,8.13622555490846
3505,8.16194579946869
3518,8.1656479252975
3550,8.17470288246946
3552,8.17526610411206
3570,8.18032087477368
3575,8.18172045512811
3580,8.18311807939475
3655,8.20385137218388
3658,8.20467182895081
3675,8.20930841164694
3675,8.20930841164694
3720,8.22147894726719
3720,8.22147894726719
3742,8.22737550683403
3765,8.23350314023399
3809,8.2451219664786
3867,8.2602342916073
3870,8.26100978602383
3883,8.26436332973167
3890,8.26616443661249
4000,8.29404964010203
4011,8.29679586577005
4095,8.31752199628717
4134,8.32700074024171
4147,8.33014046024638
4170,8.33567131479285
4200,8.34283980427146
4215,8.34640487043596
4300,8.36637030168165
4595,8.43272403478979
4653,8.44526745184465
4731,8.46189187563115
4750,8.46589989702869
4761,8.46821300919452
4810,8.47845236309981
5072,8.53149049611706
5161,8.54888563814873
5240,8.56407677731509
5640,8.6376393444921
5779,8.66198593631778
6166,8.7268056084461
6406,8.7649903301691
6725,8.81358720447004
8000,8.98719682066197
9500,9.15904707758863
10295,9.23941361946189
12533,9.43612044461152
12688,9.44841194387463
16043,9.68302789635108
18847,9.84410902901663
19500,9.87816974455184
20827,9.94400550083902
50000,10.8197782844103
