DATE,EXHKUS,EXEUROUS
28-Jun-05,7.7711,0.8280
29-Jun-05,7.7705,0.8264
30-Jun-05,7.7719,0.8266
1-Jul-05,7.7718,0.8363
5-Jul-05,7.7718,0.8391
6-Jul-05,7.7729,0.8391
7-Jul-05,7.7728,0.8384
8-Jul-05,7.7739,0.8379
11-Jul-05,7.7776,0.8288
12-Jul-05,7.7787,0.8197
13-Jul-05,7.7792,0.8271
14-Jul-05,7.7773,0.8272
15-Jul-05,7.7772,0.8308
18-Jul-05,7.7760,0.8280
19-Jul-05,7.7770,0.8333
20-Jul-05,7.7777,0.8302
21-Jul-05,7.7685,0.8256
22-Jul-05,7.7733,0.8279
25-Jul-05,7.7732,0.8296
26-Jul-05,7.7764,0.8328
27-Jul-05,7.7773,0.8300
28-Jul-05,7.7743,0.8250
29-Jul-05,7.7744,0.8245
1-Aug-05,7.7722,0.8200
2-Aug-05,7.7722,0.8191
3-Aug-05,7.7712,0.8106
4-Aug-05,7.7729,0.8076
5-Aug-05,7.7711,0.8112
8-Aug-05,7.7709,0.8090
9-Aug-05,7.7713,0.8099
10-Aug-05,7.7693,0.8100
11-Aug-05,7.7687,0.8042
12-Aug-05,7.7691,0.8046
15-Aug-05,7.7684,0.8089
16-Aug-05,7.7714,0.8102
17-Aug-05,7.7713,0.8137
18-Aug-05,7.7692,0.8212
19-Aug-05,7.7711,0.8232
22-Aug-05,7.7710,0.8173
23-Aug-05,7.7734,0.8188
24-Aug-05,7.7733,0.8171
25-Aug-05,7.7709,0.8123
26-Aug-05,7.7688,0.8114
29-Aug-05,7.7691,0.8165
30-Aug-05,7.7710,0.8194
31-Aug-05,7.7718,0.8110
1-Sep-05,7.7693,0.8034
2-Sep-05,7.7670,0.7976
6-Sep-05,7.7673,0.8011
7-Sep-05,7.7671,0.8039
8-Sep-05,7.7659,0.8065
9-Sep-05,7.7645,0.8043
12-Sep-05,7.7615,0.8138
13-Sep-05,7.7609,0.8155
14-Sep-05,7.7596,0.8142
15-Sep-05,7.7591,0.8186
16-Sep-05,7.7607,0.8187
19-Sep-05,7.7612,0.8228
20-Sep-05,7.7617,0.8212
21-Sep-05,7.7617,0.8191
22-Sep-05,7.7604,0.8228
23-Sep-05,7.7591,0.8280
26-Sep-05,7.7575,0.8308
27-Sep-05,7.7575,0.8326
28-Sep-05,7.7595,0.8322
29-Sep-05,7.7593,0.8319
30-Sep-05,7.7567,0.8293
3-Oct-05,7.7574,0.8393
4-Oct-05,7.7563,0.8391
5-Oct-05,7.7556,0.8344
6-Oct-05,7.7555,0.8242
7-Oct-05,7.7545,0.8254
11-Oct-05,7.7579,0.8323
12-Oct-05,7.7581,0.8306
13-Oct-05,7.7583,0.8377
14-Oct-05,7.7565,0.8283
17-Oct-05,7.7571,0.8306
18-Oct-05,7.7586,0.8376
19-Oct-05,7.7587,0.8342
20-Oct-05,7.7587,0.8346
21-Oct-05,7.7543,0.8363
24-Oct-05,7.7549,0.8335
25-Oct-05,7.7546,0.8265
26-Oct-05,7.7535,0.8277
27-Oct-05,7.7535,0.8232
28-Oct-05,7.7529,0.8272
31-Oct-05,7.7519,0.8337
1-Nov-05,7.7514,0.8335
2-Nov-05,7.7526,0.8287
3-Nov-05,7.7524,0.8354
4-Nov-05,7.7523,0.8455
7-Nov-05,7.7521,0.8478
8-Nov-05,7.7539,0.8494
9-Nov-05,7.7570,0.8512
10-Nov-05,7.7553,0.8518
14-Nov-05,7.7559,0.8571
15-Nov-05,7.7555,0.8551
16-Nov-05,7.7555,0.8568
17-Nov-05,7.7535,0.8543
18-Nov-05,7.7527,0.8517
21-Nov-05,7.7534,0.8522
22-Nov-05,7.7532,0.8520
23-Nov-05,7.7522,0.8475
25-Nov-05,7.7540,0.8530
28-Nov-05,7.7536,0.8472
29-Nov-05,7.7539,0.8485
30-Nov-05,7.7546,0.8482
1-Dec-05,7.7548,0.8546
2-Dec-05,7.7544,0.8548
5-Dec-05,7.7534,0.8484
6-Dec-05,7.7540,0.8486
7-Dec-05,7.7540,0.8531
8-Dec-05,7.7539,0.8453
9-Dec-05,7.7541,0.8457
12-Dec-05,7.7534,0.8355
13-Dec-05,7.7532,0.8385
14-Dec-05,7.7528,0.8305
15-Dec-05,7.7526,0.8358
16-Dec-05,7.7518,0.8325
19-Dec-05,7.7516,0.8336
20-Dec-05,7.7518,0.8440
21-Dec-05,7.7520,0.8463
22-Dec-05,7.7523,0.8415
23-Dec-05,7.7525,0.8434
27-Dec-05,7.7528,0.8435
28-Dec-05,7.7525,0.8421
29-Dec-05,7.7531,0.8442
30-Dec-05,7.7533,0.8445
3-Jan-06,7.7535,0.8347
4-Jan-06,7.7533,0.8271
5-Jan-06,7.7534,0.8264
6-Jan-06,7.7531,0.8232
9-Jan-06,7.7507,0.8289
10-Jan-06,7.7506,0.8290
11-Jan-06,7.7509,0.8241
12-Jan-06,7.7511,0.8309
13-Jan-06,7.7513,0.8262
17-Jan-06,7.7535,0.8283
18-Jan-06,7.7533,0.8276
19-Jan-06,7.7535,0.8258
20-Jan-06,7.7545,0.8264
23-Jan-06,7.7541,0.8146
24-Jan-06,7.7554,0.8139
25-Jan-06,7.7566,0.8162
26-Jan-06,7.7561,0.8177
27-Jan-06,7.7565,0.8244
30-Jan-06,7.7571,0.8271
31-Jan-06,7.7561,0.8225
1-Feb-06,7.7569,0.8270
2-Feb-06,7.7564,0.8264
3-Feb-06,7.7570,0.8319
6-Feb-06,7.7579,0.8354
7-Feb-06,7.7590,0.8351
8-Feb-06,7.7618,0.8379
9-Feb-06,7.7613,0.8359
10-Feb-06,7.7590,0.8389
13-Feb-06,7.7594,0.8400
14-Feb-06,7.7604,0.8407
15-Feb-06,7.7612,0.8415
16-Feb-06,7.7603,0.8416
17-Feb-06,7.7604,0.8399
21-Feb-06,7.7610,0.8395
22-Feb-06,7.7611,0.8400
23-Feb-06,7.7587,0.8387
24-Feb-06,7.7580,0.8416
27-Feb-06,7.7580,0.8432
28-Feb-06,7.7584,0.8386
1-Mar-06,7.7574,0.8404
2-Mar-06,7.7574,0.8331
3-Mar-06,7.7587,0.8314
6-Mar-06,7.7587,0.8332
7-Mar-06,7.7607,0.8412
8-Mar-06,7.7609,0.8393
9-Mar-06,7.7608,0.8389
10-Mar-06,7.7620,0.8413
13-Mar-06,7.7590,0.8374
14-Mar-06,7.7578,0.8316
15-Mar-06,7.7583,0.8302
16-Mar-06,7.7570,0.8230
17-Mar-06,7.7573,0.8199
20-Mar-06,7.7585,0.8218
21-Mar-06,7.7594,0.8279
22-Mar-06,7.7599,0.8268
23-Mar-06,7.7591,0.8344
24-Mar-06,7.7591,0.8310
27-Mar-06,7.7590,0.8323
28-Mar-06,7.7590,0.8280
29-Mar-06,7.7598,0.8313
30-Mar-06,7.7595,0.8243
31-Mar-06,7.7597,0.8238
3-Apr-06,7.7598,0.8248
4-Apr-06,7.7591,0.8158
5-Apr-06,7.7589,0.8149
6-Apr-06,7.7579,0.8186
7-Apr-06,7.7557,0.8258
10-Apr-06,7.7564,0.8271
11-Apr-06,7.7589,0.8247
12-Apr-06,7.7582,0.8260
13-Apr-06,7.7575,0.8260
14-Apr-06,7.7569,0.8260
17-Apr-06,7.7565,0.8152
18-Apr-06,7.7556,0.8147
19-Apr-06,7.7539,0.8100
20-Apr-06,7.7544,0.8113
21-Apr-06,7.7542,0.8104
24-Apr-06,7.7530,0.8082
25-Apr-06,7.7537,0.8057
26-Apr-06,7.7548,0.8023
27-Apr-06,7.7544,0.7984
28-Apr-06,7.7529,0.7921
1-May-06,7.7527,0.7932
2-May-06,7.7536,0.7909
3-May-06,7.7526,0.7912
4-May-06,7.7521,0.7884
5-May-06,7.7518,0.7854
8-May-06,7.7510,0.7862
9-May-06,7.7517,0.7845
10-May-06,7.7517,0.7813
11-May-06,7.7526,0.7779
12-May-06,7.7532,0.7759
15-May-06,7.7531,0.7797
16-May-06,7.7531,0.7802
17-May-06,7.7534,0.7860
18-May-06,7.7541,0.7816
19-May-06,7.7554,0.7843
22-May-06,7.7537,0.7782
23-May-06,7.7553,0.7786
24-May-06,7.7559,0.7845
25-May-06,7.7567,0.7827
26-May-06,7.7562,0.7850
30-May-06,7.7575,0.7771
31-May-06,7.7567,0.7792
1-Jun-06,7.7578,0.7798
2-Jun-06,7.7581,0.7745
5-Jun-06,7.7586,0.7720
6-Jun-06,7.7596,0.7795
7-Jun-06,7.7617,0.7813
8-Jun-06,7.7619,0.7906
9-Jun-06,7.7611,0.7914
12-Jun-06,7.7607,0.7945
13-Jun-06,7.7624,0.7953
14-Jun-06,7.7621,0.7917
15-Jun-06,7.7617,0.7926
16-Jun-06,7.7643,0.7922
19-Jun-06,7.7660,0.7951
20-Jun-06,7.7666,0.7957
21-Jun-06,7.7665,0.7896
22-Jun-06,7.7660,0.7948
23-Jun-06,7.7684,0.7986
26-Jun-06,7.7675,0.7966
27-Jun-06,7.7661,0.7943
28-Jun-06,7.7678,0.7980
29-Jun-06,7.7675,0.7978
30-Jun-06,7.7666,0.7825
3-Jul-06,7.7670,0.7817
5-Jul-06,7.7715,0.7858
6-Jul-06,7.7709,0.7839
7-Jul-06,7.7682,0.7799
10-Jul-06,7.7707,0.7843
11-Jul-06,7.7730,0.7841
12-Jul-06,7.7759,0.7870
13-Jul-06,7.7754,0.7891
14-Jul-06,7.7753,0.7911
17-Jul-06,7.7751,0.7981
18-Jul-06,7.7740,0.8000
19-Jul-06,7.7756,0.7962
20-Jul-06,7.7756,0.7912
21-Jul-06,7.7754,0.7884
24-Jul-06,7.7773,0.7918
25-Jul-06,7.7775,0.7952
26-Jul-06,7.7775,0.7919
27-Jul-06,7.7717,0.7854
28-Jul-06,7.7703,0.7844
31-Jul-06,7.7703,0.7835
1-Aug-06,7.7723,0.7826
2-Aug-06,7.7735,0.7814
3-Aug-06,7.7726,0.7825
4-Aug-06,7.7742,0.7756
7-Aug-06,7.7755,0.7772
8-Aug-06,7.7760,0.7789
9-Aug-06,7.7769,0.7759
10-Aug-06,7.7768,0.7834
11-Aug-06,7.7772,0.7839
14-Aug-06,7.7785,0.7852
15-Aug-06,7.7789,0.7820
16-Aug-06,7.7768,0.7774
17-Aug-06,7.7748,0.7770
18-Aug-06,7.7732,0.7806
21-Aug-06,7.7752,0.7744
22-Aug-06,7.7764,0.7810
23-Aug-06,7.7770,0.7816
24-Aug-06,7.7766,0.7837
25-Aug-06,7.7796,0.7833
28-Aug-06,7.7790,0.7822
29-Aug-06,7.7776,0.7832
30-Aug-06,7.7774,0.7797
31-Aug-06,7.7767,0.7817
1-Sep-06,7.7780,0.7792
5-Sep-06,7.7776,0.7806
6-Sep-06,7.7772,0.7820
7-Sep-06,7.7767,0.7839
8-Sep-06,7.7781,0.7891
11-Sep-06,7.7785,0.7875
12-Sep-06,7.7793,0.7878
13-Sep-06,7.7808,0.7869
14-Sep-06,7.7819,0.7852
15-Sep-06,7.7825,0.7906
18-Sep-06,7.7841,0.7892
19-Sep-06,7.7862,0.7885
20-Sep-06,7.7855,0.7873
21-Sep-06,7.7834,0.7855
22-Sep-06,7.7827,0.7815
25-Sep-06,7.7837,0.7845
26-Sep-06,7.7866,0.7882
27-Sep-06,7.7878,0.7875
28-Sep-06,7.7884,0.7876
29-Sep-06,7.7913,0.7882
2-Oct-06,7.7911,0.7847
3-Oct-06,7.7907,0.7857
4-Oct-06,7.7917,0.7882
5-Oct-06,7.7865,0.7882
6-Oct-06,7.7852,0.7937
10-Oct-06,7.7928,0.7974
11-Oct-06,7.7927,0.7970
12-Oct-06,7.7906,0.7976
13-Oct-06,7.7889,0.7999
16-Oct-06,7.7837,0.7988
17-Oct-06,7.7802,0.7959
18-Oct-06,7.7839,0.7990
19-Oct-06,7.7875,0.7940
20-Oct-06,7.7847,0.7928
23-Oct-06,7.7815,0.7972
24-Oct-06,7.7812,0.7959
25-Oct-06,7.7818,0.7942
26-Oct-06,7.7809,0.7893
27-Oct-06,7.7751,0.7859
30-Oct-06,7.7746,0.7863
31-Oct-06,7.7780,0.7829
1-Nov-06,7.7765,0.7830
2-Nov-06,7.7762,0.7825
3-Nov-06,7.7774,0.7871
6-Nov-06,7.7818,0.7865
7-Nov-06,7.7848,0.7809
8-Nov-06,7.7838,0.7828
9-Nov-06,7.7838,0.7791
10-Nov-06,7.7824,0.7775
13-Nov-06,7.7844,0.7806
14-Nov-06,7.7842,0.7805
15-Nov-06,7.7859,0.7808
16-Nov-06,7.7856,0.7808
17-Nov-06,7.7875,0.7798
20-Nov-06,7.7864,0.7806
21-Nov-06,7.7859,0.7798
22-Nov-06,7.7864,0.7735
24-Nov-06,7.7759,0.7645
27-Nov-06,7.7761,0.7622
28-Nov-06,7.7753,0.7598
29-Nov-06,7.7751,0.7607
30-Nov-06,7.7779,0.7541
1-Dec-06,7.7748,0.7510
4-Dec-06,7.7722,0.7504
5-Dec-06,7.7709,0.7504
6-Dec-06,7.7700,0.7515
7-Dec-06,7.7665,0.7521
8-Dec-06,7.7736,0.7567
11-Dec-06,7.7733,0.7563
12-Dec-06,7.7731,0.7557
13-Dec-06,7.7712,0.7567
14-Dec-06,7.7708,0.7591
15-Dec-06,7.7721,0.7637
18-Dec-06,7.7725,0.7649
19-Dec-06,7.7752,0.7579
20-Dec-06,7.7743,0.7586
21-Dec-06,7.7756,0.7590
22-Dec-06,7.7771,0.7616
26-Dec-06,7.7787,0.7615
27-Dec-06,7.7741,0.7619
28-Dec-06,7.7719,0.7600
29-Dec-06,7.7771,0.7577
2-Jan-07,7.7797,0.7527
3-Jan-07,7.7867,0.7594
4-Jan-07,7.7885,0.7637
5-Jan-07,7.7908,0.7689
8-Jan-07,7.7946,0.7679
9-Jan-07,7.7974,0.7695
10-Jan-07,7.7983,0.7728
11-Jan-07,7.7977,0.7750
12-Jan-07,7.7992,0.7736
16-Jan-07,7.8005,0.7741
17-Jan-07,7.8039,0.7723
18-Jan-07,7.8100,0.7727
19-Jan-07,7.8072,0.7711
22-Jan-07,7.7973,0.7718
23-Jan-07,7.7998,0.7678
24-Jan-07,7.8035,0.7714
25-Jan-07,7.8063,0.7704
26-Jan-07,7.8091,0.7747
29-Jan-07,7.8112,0.7723
30-Jan-07,7.8100,0.7720
31-Jan-07,7.8078,0.7693
1-Feb-07,7.8041,0.7680
2-Feb-07,7.8068,0.7716
5-Feb-07,7.8086,0.7732
6-Feb-07,7.8090,0.7711
7-Feb-07,7.8130,0.7680
8-Feb-07,7.8141,0.7672
9-Feb-07,7.8131,0.7689
12-Feb-07,7.8136,0.7715
13-Feb-07,7.8141,0.7678
14-Feb-07,7.8133,0.7618
15-Feb-07,7.8087,0.7610
16-Feb-07,7.8124,0.7612
20-Feb-07,7.8141,0.7614
21-Feb-07,7.8127,0.7618
22-Feb-07,7.8112,0.7614
23-Feb-07,7.8087,0.7596
26-Feb-07,7.8127,0.7599
27-Feb-07,7.8136,0.7549
28-Feb-07,7.8119,0.7559
1-Mar-07,7.8119,0.7591
2-Mar-07,7.8146,0.7586
5-Mar-07,7.8149,0.7637
6-Mar-07,7.8151,0.7629
7-Mar-07,7.8177,0.7606
8-Mar-07,7.8129,0.7617
9-Mar-07,7.8141,0.7623
12-Mar-07,7.8143,0.7584
13-Mar-07,7.8154,0.7576
14-Mar-07,7.8148,0.7560
15-Mar-07,7.8116,0.7548
16-Mar-07,7.8108,0.7515
19-Mar-07,7.8124,0.7519
20-Mar-07,7.8124,0.7524
21-Mar-07,7.8107,0.7516
22-Mar-07,7.8093,0.7486
23-Mar-07,7.8105,0.7518
26-Mar-07,7.8130,0.7499
27-Mar-07,7.8130,0.7487
28-Mar-07,7.8139,0.7501
29-Mar-07,7.8127,0.7499
30-Mar-07,7.8137,0.7477
