TOT_CHG,HSA,DRG,PAYER,NO_DSCHG,POPLN,NUM_BEDS,INCOME,CHG_NUM
131701,1,390,3,165,869000,3256,10355,798.1878662
2883292,1,391,1,5901,869000,3256,10355,488.6107483
1262008,1,391,2,2701,869000,3256,10355,467.2373047
421930,1,391,3,934,869000,3256,10355,451.7451782
2202388,1,410,1,609,869000,3256,10355,3616.400635
288963,1,410,2,95,869000,3256,10355,3041.71582
2259778,1,410,3,516,869000,3256,10355,4379.414551
7355360,1,430,1,1424,869000,3256,10355,5165.280762
1218671,1,430,2,296,869000,3256,10355,4117.131836
12354661,1,430,3,826,869000,3256,10355,14957.2168
3192540,1,435,1,891,869000,3256,10355,3583.097656
250190,1,435,2,153,869000,3256,10355,1635.22876
1759573,1,435,3,1117,869000,3256,10355,1575.266846
5100690,2,14,1,960,847000,2125,12914,5313.21875
198100,2,14,2,36,847000,2125,12914,5502.777832
276123,2,14,3,50,847000,2125,12914,5522.459961
4117525,2,89,1,836,847000,2125,12914,4925.269043
201191,2,89,2,40,847000,2125,12914,5029.774902
180948,2,89,3,39,847000,2125,12914,4639.692383
1486016,2,112,1,195,847000,2125,12914,7620.594727
125700,2,112,2,18,847000,2125,12914,6983.333496
85591,2,112,3,6,847000,2125,12914,14265.16699
1873695,2,125,1,590,847000,2125,12914,3175.75415
359879,2,125,2,117,847000,2125,12914,3075.888916
212973,2,125,3,55,847000,2125,12914,3872.236328
7058883,2,127,1,1610,847000,2125,12914,4384.399414
161164,2,127,2,41,847000,2125,12914,3930.829346
118938,2,127,3,31,847000,2125,12914,3836.709717
2362041,2,140,1,843,847000,2125,12914,2801.946533
144425,2,140,2,66,847000,2125,12914,2188.257568
142027,2,140,3,58,847000,2125,12914,2448.741455
1464116,2,143,1,595,847000,2125,12914,2460.699219
219414,2,143,2,92,847000,2125,12914,2384.934814
198743,2,143,3,87,847000,2125,12914,2284.402344
2678435,2,182,1,834,847000,2125,12914,3211.552734
165613,2,182,2,75,847000,2125,12914,2208.17334
243733,2,182,3,91,847000,2125,12914,2678.384521
1318329,2,183,1,597,847000,2125,12914,2208.256348
317756,2,183,2,170,847000,2125,12914,1869.152954
460365,2,183,3,199,847000,2125,12914,2313.391846
8278771,2,209,1,706,847000,2125,12914,11726.30469
565987,2,209,2,50,847000,2125,12914,11319.74023
447709,2,209,3,38,847000,2125,12914,11781.81543
1190167,2,215,1,255,847000,2125,12914,4667.321777
320812,2,215,2,76,847000,2125,12914,4221.210449
771269,2,215,3,179,847000,2125,12914,4308.765137
1684353,2,243,1,668,847000,2125,12914,2521.486572
209940,2,243,2,108,847000,2125,12914,1943.888916
787965,2,243,3,279,847000,2125,12914,2824.247314
2427758,2,359,1,705,847000,2125,12914,3443.628418
946688,2,359,2,280,847000,2125,12914,3381.028564
812927,2,359,3,218,847000,2125,12914,3729.022949
2600173,2,371,1,801,847000,2125,12914,3246.158447
949911,2,371,2,292,847000,2125,12914,3253.119873
1109064,2,371,3,340,847000,2125,12914,3261.952881
6467979,2,373,1,4138,847000,2125,12914,1563.068848
2117703,2,373,2,1341,847000,2125,12914,1579.196899
2886471,2,373,3,1726,847000,2125,12914,1672.347046
534857,2,390,1,577,847000,2125,12914,926.961853
166540,2,390,2,201,847000,2125,12914,828.5571899
307048,2,390,3,291,847000,2125,12914,1055.147827
2730480,2,391,1,4677,847000,2125,12914,583.8101196
859757,2,391,2,1503,847000,2125,12914,572.0272827
1328222,2,391,3,1886,847000,2125,12914,704.253418
942220,2,410,1,344,847000,2125,12914,2739.011719
163426,2,410,2,55,847000,2125,12914,2971.381836
146997,2,410,3,44,847000,2125,12914,3340.84082
7561028,2,430,1,1323,847000,2125,12914,5715.0625
433980,2,430,2,125,847000,2125,12914,3471.840088
3161606,2,430,3,550,847000,2125,12914,5748.374512
2926462,2,435,1,941,847000,2125,12914,3109.948975
931891,2,435,2,331,847000,2125,12914,2815.380615
5245984,2,435,3,1309,847000,2125,12914,4007.627197
15969578,9,14,1,1866,925000,5262,12278,8558.1875
1732420,9,14,2,152,925000,5262,12278,11397.5
2133920,9,14,3,169,925000,5262,12278,12626.74512
9700834,9,89,1,1532,925000,5262,12278,6332.137207
784381,9,89,2,135,925000,5262,12278,5810.229492
922925,9,89,3,139,925000,5262,12278,6639.748047
31111004,9,112,1,3021,925000,5262,12278,10298.24707
5533441,9,112,2,596,925000,5262,12278,9284.296875
8053110,9,112,3,819,925000,5262,12278,9832.857422
10542260,9,125,1,2837,925000,5262,12278,3715.98877
2891569,9,125,2,691,925000,5262,12278,4184.615234
2525285,9,125,3,769,925000,5262,12278,3283.855713
16598517,9,127,1,3050,925000,5262,12278,5442.136719
976283,9,127,2,198,925000,5262,12278,4930.722168
1114548,9,127,3,186,925000,5262,12278,5992.193359
3533536,9,140,1,1050,925000,5262,12278,3365.272461
455395,9,140,2,176,925000,5262,12278,2587.47168
605951,9,140,3,197,925000,5262,12278,3075.893311
2826698,9,143,1,1029,925000,5262,12278,2747.033936
974138,9,143,2,418,925000,5262,12278,2330.473633
931891,9,143,3,369,925000,5262,12278,2525.449951
6631002,9,182,1,1608,925000,5262,12278,4123.757324
902689,9,182,2,291,925000,5262,12278,3102.02417
816421,9,182,3,235,925000,5262,12278,3474.131836
1937702,9,183,1,779,925000,5262,12278,2487.422363
714018,9,183,2,371,925000,5262,12278,1924.576782
595437,9,183,3,265,925000,5262,12278,2246.932129
21028184,9,209,1,1615,925000,5262,12278,13020.54785
2211315,9,209,2,180,925000,5262,12278,12285.08301
1960152,9,209,3,150,925000,5262,12278,13067.67969
6433655,9,215,1,664,925000,5262,12278,9689.239258
1461088,9,215,2,225,925000,5262,12278,6493.724609
2970183,9,215,3,383,925000,5262,12278,7755.046875
5865620,9,243,1,1729,925000,5262,12278,3392.492676
1143929,9,243,2,466,925000,5262,12278,2454.783203
2428895,9,243,3,880,925000,5262,12278,2760.10791
3151397,9,359,1,806,925000,5262,12278,3909.921875
2865508,9,359,2,737,925000,5262,12278,3888.070557
1446969,9,359,3,380,925000,5262,12278,3807.813232
3071531,9,371,1,782,925000,5262,12278,3927.789063
4250630,9,371,2,1083,925000,5262,12278,3924.866211
1557377,9,371,3,413,925000,5262,12278,3770.888672
7965536,9,373,1,4159,925000,5262,12278,1915.252686
13162126,9,373,2,7193,925000,5262,12278,1829.852051
4012926,9,373,3,2230,925000,5262,12278,1799.518433
807224,9,390,1,698,925000,5262,12278,1156.481323
1311961,9,390,2,1485,925000,5262,12278,883.4754028
427675,9,390,3,482,925000,5262,12278,887.2925415
2787828,9,391,1,3958,925000,5262,12278,704.3527222
4251024,9,391,2,6677,925000,5262,12278,636.666748
1371560,9,391,3,2256,925000,5262,12278,607.9609985
5651560,9,410,1,1620,925000,5262,12278,3488.617188
1414858,9,410,2,452,925000,5262,12278,3130.216797
1648531,9,410,3,418,925000,5262,12278,3943.854004
29872156,9,430,1,3831,925000,5262,12278,7797.482422
2789444,9,430,2,620,925000,5262,12278,4499.103027
5880454,9,430,3,786,925000,5262,12278,7481.493652
6809738,9,435,1,1273,925000,5262,12278,5349.362305
2076676,9,435,2,656,925000,5262,12278,3165.664551
4285449,9,435,3,1156,925000,5262,12278,3707.135742
2567963,3,14,1,589,502000,1880,10486,4359.869141
19765,3,14,2,5,502000,1880,10486,3953
1046177,3,14,3,224,502000,1880,10486,4670.433105
3128862,3,89,1,731,502000,1880,10486,4280.249023
40077,3,89,2,12,502000,1880,10486,3339.75
848431,3,89,3,217,502000,1880,10486,3909.820313
3023635,3,112,1,395,502000,1880,10486,7654.771973
3066,3,112,2,1,502000,1880,10486,3066
1905784,3,112,3,269,502000,1880,10486,7084.69873
1099347,3,125,1,443,502000,1880,10486,2481.595947
60918,3,125,2,23,502000,1880,10486,2648.608643
559902,3,125,3,253,502000,1880,10486,2213.05127
3543179,3,127,1,946,502000,1880,10486,3745.432373
19650,3,127,2,3,502000,1880,10486,6550
1032470,3,127,3,277,502000,1880,10486,3727.328613
901519,3,140,1,396,502000,1880,10486,2276.563232
18596,3,140,2,9,502000,1880,10486,2066.222168
516280,3,140,3,217,502000,1880,10486,2379.17041
373182,3,143,1,204,502000,1880,10486,1829.323486
31272,3,143,2,19,502000,1880,10486,1645.894775
239687,3,143,3,137,502000,1880,10486,1749.540161
1500524,3,182,1,562,502000,1880,10486,2669.971436
36574,3,182,2,22,502000,1880,10486,1662.45459
685053,3,182,3,262,502000,1880,10486,2614.706055
574050,3,183,1,325,502000,1880,10486,1766.307739
43366,3,183,2,37,502000,1880,10486,1172.054077
425501,3,183,3,241,502000,1880,10486,1765.564331
8425495,3,209,1,740,502000,1880,10486,11385.80371
285140,3,209,2,24,502000,1880,10486,11880.83301
3374936,3,209,3,321,502000,1880,10486,10513.81934
1542551,3,215,1,308,502000,1880,10486,5008.282227
97447,3,215,2,22,502000,1880,10486,4429.40918
1070361,3,215,3,225,502000,1880,10486,4757.160156
1084312,3,243,1,371,502000,1880,10486,2922.673828
40094,3,243,2,19,502000,1880,10486,2110.210449
815453,3,243,3,373,502000,1880,10486,2186.201172
1154255,3,359,1,367,502000,1880,10486,3145.108887
160358,3,359,2,54,502000,1880,10486,2969.592529
1445461,3,359,3,488,502000,1880,10486,2962.010254
1062597,3,371,1,391,502000,1880,10486,2717.639404
160580,3,371,2,64,502000,1880,10486,2509.0625
1362646,3,371,3,494,502000,1880,10486,2758.392822
2331446,3,373,1,2111,502000,1880,10486,1104.427246
391805,3,373,2,348,502000,1880,10486,1125.876465
2779025,3,373,3,2370,502000,1880,10486,1172.584351
232316,3,390,1,321,502000,1880,10486,723.7258301
42919,3,390,2,71,502000,1880,10486,604.492981
234983,3,390,3,289,502000,1880,10486,813.0899658
1036385,3,391,1,2273,502000,1880,10486,455.9546814
143844,3,391,2,321,502000,1880,10486,448.1121521
1284606,3,391,3,2710,502000,1880,10486,474.024353
907678,3,410,1,294,502000,1880,10486,3087.340088
50145,3,410,2,11,502000,1880,10486,4558.63623
595053,3,410,3,247,502000,1880,10486,2409.121338
3657306,3,430,1,865,502000,1880,10486,4228.099609
80445,3,430,2,29,502000,1880,10486,2773.965576
11592379,3,430,3,753,502000,1880,10486,15394.92578
499334,3,435,1,351,502000,1880,10486,1422.604004
31156,3,435,2,28,502000,1880,10486,1112.714233
2446562,3,435,3,657,502000,1880,10486,3723.838623
3735535,4,14,1,903,539000,1841,9623,4136.805176
3537,4,14,2,1,539000,1841,9623,3537
367498,4,14,3,88,539000,1841,9623,4176.11377
3220953,4,89,1,724,539000,1841,9623,4448.830078
40455,4,89,2,8,539000,1841,9623,5056.875
341514,4,89,3,69,539000,1841,9623,4949.478027
2912390,4,112,1,302,539000,1841,9623,9643.675781
10727,4,112,2,4,539000,1841,9623,2681.75
1703255,4,112,3,171,539000,1841,9623,9960.555664
728681,4,125,1,200,539000,1841,9623,3643.405029
412035,4,125,3,129,539000,1841,9623,3194.069824
4945296,4,127,1,1329,539000,1841,9623,3721.06543
41925,4,127,2,7,539000,1841,9623,5989.285645
415652,4,127,3,119,539000,1841,9623,3492.874023
1706914,4,140,1,676,539000,1841,9623,2525.020752
35096,4,140,2,11,539000,1841,9623,3190.54541
257632,4,140,3,95,539000,1841,9623,2711.915771
638165,4,143,1,306,539000,1841,9623,2085.506592
14758,4,143,2,7,539000,1841,9623,2108.285645
226753,4,143,3,116,539000,1841,9623,1954.767212
2362764,4,182,1,849,539000,1841,9623,2782.996582
23103,4,182,2,12,539000,1841,9623,1925.25
459065,4,182,3,151,539000,1841,9623,3040.165527
1106042,4,183,1,620,539000,1841,9623,1783.938721
32176,4,183,2,15,539000,1841,9623,2145.06665
378733,4,183,3,218,539000,1841,9623,1737.307373
11640351,4,209,1,1048,539000,1841,9623,11107.20508
134010,4,209,2,13,539000,1841,9623,10308.46191
1483272,4,209,3,132,539000,1841,9623,11236.90918
2077141,4,215,1,472,539000,1841,9623,4400.722656
41393,4,215,2,9,539000,1841,9623,4599.222168
1669786,4,215,3,434,539000,1841,9623,3847.433105
1748940,4,243,1,861,539000,1841,9623,2031.289185
48077,4,243,2,26,539000,1841,9623,1849.115356
829636,4,243,3,488,539000,1841,9623,1700.07373
2183197,4,359,1,621,539000,1841,9623,3515.615234
102525,4,359,2,26,539000,1841,9623,3943.269287
1063940,4,359,3,337,539000,1841,9623,3157.092041
2047291,4,371,1,638,539000,1841,9623,3208.920166
123697,4,371,2,30,539000,1841,9623,4123.233398
869312,4,371,3,288,539000,1841,9623,3018.444336
4667012,4,373,1,3602,539000,1841,9623,1295.672363
156049,4,373,2,116,539000,1841,9623,1345.25
2186060,4,373,3,1799,539000,1841,9623,1215.152832
442163,4,390,1,502,539000,1841,9623,880.8027954
12980,4,390,2,17,539000,1841,9623,763.5294189
184584,4,390,3,260,539000,1841,9623,709.9384766
1996161,4,391,1,3772,539000,1841,9623,529.2049561
75565,4,391,2,133,539000,1841,9623,568.1578979
1024999,4,391,3,1973,539000,1841,9623,519.5129395
1843458,4,410,1,746,539000,1841,9623,2471.123291
3326,4,410,2,2,539000,1841,9623,1663
344303,4,410,3,143,539000,1841,9623,2407.713379
7238574,4,430,1,1264,539000,1841,9623,5726.719727
151806,4,430,2,29,539000,1841,9623,5234.689453
2497268,4,430,3,497,539000,1841,9623,5024.684082
2783090,4,435,1,932,539000,1841,9623,2986.147949
197570,4,435,2,56,539000,1841,9623,3528.035645
1386224,4,435,3,893,539000,1841,9623,1552.32251
2398484,5,14,1,606,392000,1453,9500,3957.894287
60831,5,14,2,12,392000,1453,9500,5069.25
485550,5,14,3,44,392000,1453,9500,11035.22754
3065085,5,89,1,778,392000,1453,9500,3939.697998
48561,5,89,2,18,392000,1453,9500,2697.833252
148592,5,89,3,37,392000,1453,9500,4016
187735,5,112,1,28,392000,1453,9500,6704.821289
9358,5,112,2,2,392000,1453,9500,4679
407018,5,125,1,128,392000,1453,9500,3179.828125
79907,5,125,2,24,392000,1453,9500,3329.458252
12061,5,125,3,4,392000,1453,9500,3015.25
3337595,5,127,1,921,392000,1453,9500,3623.881592
50035,5,127,2,15,392000,1453,9500,3335.666748
87237,5,127,3,29,392000,1453,9500,3008.172363
1789147,5,140,1,729,392000,1453,9500,2454.248291
55709,5,140,2,27,392000,1453,9500,2063.296387
192489,5,140,3,79,392000,1453,9500,2436.56958
480796,5,143,1,250,392000,1453,9500,1923.18396
90587,5,143,2,52,392000,1453,9500,1742.057739
104057,5,143,3,62,392000,1453,9500,1678.338745
1612002,5,182,1,664,392000,1453,9500,2427.713867
131935,5,182,2,61,392000,1453,9500,2162.868896
162152,5,182,3,86,392000,1453,9500,1885.488403
730245,5,183,1,454,392000,1453,9500,1608.469116
119450,5,183,2,81,392000,1453,9500,1474.691406
144206,5,183,3,109,392000,1453,9500,1322.990845
5989694,5,209,1,557,392000,1453,9500,10753.49023
262232,5,209,2,21,392000,1453,9500,12487.23828
615890,5,209,3,59,392000,1453,9500,10438.81348
684620,5,215,1,104,392000,1453,9500,6582.884766
250258,5,215,2,48,392000,1453,9500,5213.708496
1584268,5,215,3,304,392000,1453,9500,5211.407715
1110147,5,243,1,472,392000,1453,9500,2352.006348
108148,5,243,2,62,392000,1453,9500,1744.322632
627589,5,243,3,326,392000,1453,9500,1925.119629
1095757,5,359,1,325,392000,1453,9500,3371.560059
431637,5,359,2,123,392000,1453,9500,3509.243896
718955,5,359,3,207,392000,1453,9500,3473.212646
1393031,5,371,1,432,392000,1453,9500,3224.608887
604743,5,371,2,168,392000,1453,9500,3599.660645
486875,5,371,3,151,392000,1453,9500,3224.337646
2135301,5,373,1,1846,392000,1453,9500,1156.717773
805643,5,373,2,632,392000,1453,9500,1274.751587
840677,5,373,3,822,392000,1453,9500,1022.721436
165928,5,390,1,212,392000,1453,9500,782.6792603
52248,5,390,2,84,392000,1453,9500,622
70557,5,390,3,126,392000,1453,9500,559.9761963
1145183,5,391,1,2248,392000,1453,9500,509.4230347
423130,5,391,2,759,392000,1453,9500,557.4835205
420130,5,391,3,873,392000,1453,9500,481.2485657
185933,5,410,1,91,392000,1453,9500,2043.219727
22597,5,410,2,6,392000,1453,9500,3766.166748
49411,5,410,3,21,392000,1453,9500,2352.904785
6127611,5,430,1,924,392000,1453,9500,6631.61377
276621,5,430,2,35,392000,1453,9500,7903.457031
2039454,5,430,3,365,392000,1453,9500,5587.54541
1675176,5,435,1,442,392000,1453,9500,3789.990967
199416,5,435,2,91,392000,1453,9500,2191.384521
969502,5,435,3,672,392000,1453,9500,1442.711304
2028025,8,14,1,503,233000,1093,9396,4031.858887
24361,8,14,2,5,233000,1093,9396,4872.200195
63361,8,14,3,14,233000,1093,9396,4525.785645
2150079,8,89,1,556,233000,1093,9396,3867.048584
24917,8,89,2,4,233000,1093,9396,6229.25
105129,8,89,3,33,233000,1093,9396,3185.727295
2558789,8,112,1,299,233000,1093,9396,8557.822266
58301,8,112,2,8,233000,1093,9396,7287.625
89750,8,112,3,10,233000,1093,9396,8975
1481935,8,125,1,481,233000,1093,9396,3080.946045
113177,8,125,2,38,233000,1093,9396,2978.342041
89114,8,125,3,26,233000,1093,9396,3427.461426
2555955,8,127,1,717,233000,1093,9396,3564.790771
14681,8,127,2,4,233000,1093,9396,3670.25
54367,8,127,3,20,233000,1093,9396,2718.350098
1236864,8,140,1,494,233000,1093,9396,2503.773193
29688,8,140,2,17,233000,1093,9396,1746.352905
69200,8,140,3,35,233000,1093,9396,1977.142822
697715,8,143,1,340,233000,1093,9396,2052.103027
40024,8,143,2,24,233000,1093,9396,1667.666626
86570,8,143,3,47,233000,1093,9396,1841.914917
1183686,8,182,1,448,233000,1093,9396,2642.15625
35451,8,182,2,16,233000,1093,9396,2215.6875
88788,8,182,3,46,233000,1093,9396,1930.17395
548482,8,183,1,296,233000,1093,9396,1852.979736
47745,8,183,2,27,233000,1093,9396,1768.333374
72451,8,183,3,60,233000,1093,9396,1207.516724
4581950,8,209,1,385,233000,1093,9396,11901.16895
77136,8,209,2,7,233000,1093,9396,11019.42871
153682,8,209,3,14,233000,1093,9396,10977.28613
619528,8,215,1,111,233000,1093,9396,5581.333496
71341,8,215,2,9,233000,1093,9396,7926.777832
491786,8,215,3,79,233000,1093,9396,6225.13916
677972,8,243,1,315,233000,1093,9396,2152.291992
31878,8,243,2,16,233000,1093,9396,1992.375
219428,8,243,3,137,233000,1093,9396,1601.664185
1019242,8,359,1,291,233000,1093,9396,3502.549805
180696,8,359,2,54,233000,1093,9396,3346.222168
143495,8,359,3,38,233000,1093,9396,3776.184326
1001816,8,371,1,295,233000,1093,9396,3395.986328
125512,8,371,2,36,233000,1093,9396,3486.444336
202309,8,371,3,58,233000,1093,9396,3488.086182
2845453,8,373,1,2071,233000,1093,9396,1373.951172
432789,8,373,2,300,233000,1093,9396,1442.630005
482230,8,373,3,406,233000,1093,9396,1187.758667
276285,8,390,1,347,233000,1093,9396,796.2103882
22494,8,390,2,39,233000,1093,9396,576.7692261
37673,8,390,3,59,233000,1093,9396,638.5254517
1192402,8,391,1,2196,233000,1093,9396,542.9881592
165490,8,391,2,295,233000,1093,9396,560.9830322
212690,8,391,3,437,233000,1093,9396,486.7048035
681324,8,410,1,287,233000,1093,9396,2373.951172
60179,8,410,2,20,233000,1093,9396,3008.949951
11231,8,410,3,8,233000,1093,9396,1403.875
2935228,8,430,1,696,233000,1093,9396,4217.281738
137583,8,430,2,41,233000,1093,9396,3355.682861
588967,8,430,3,139,233000,1093,9396,4237.172852
717810,8,435,1,374,233000,1093,9396,1919.278076
40151,8,435,2,31,233000,1093,9396,1295.193604
452759,8,435,3,342,233000,1093,9396,1323.856689
3513310,6,14,1,738,421000,1612,9322,4760.58252
50269,6,14,2,12,421000,1612,9322,4189.083496
731707,6,14,3,114,421000,1612,9322,6418.482422
3217572,6,89,1,678,421000,1612,9322,4745.681641
43359,6,89,2,12,421000,1612,9322,3613.25
520372,6,89,3,136,421000,1612,9322,3826.264648
5127547,6,112,1,525,421000,1612,9322,9766.755859
172297,6,112,2,19,421000,1612,9322,9068.262695
472037,6,112,3,41,421000,1612,9322,11513.09766
1904522,6,125,1,733,421000,1612,9322,2598.256592
270625,6,125,2,102,421000,1612,9322,2653.186279
146935,6,125,3,50,421000,1612,9322,2938.699951
3995261,6,127,1,1013,421000,1612,9322,3943.989258
72843,6,127,2,9,421000,1612,9322,8093.666504
590149,6,127,3,164,421000,1612,9322,3598.469482
1574758,6,140,1,630,421000,1612,9322,2499.615967
24984,6,140,2,13,421000,1612,9322,1921.846191
314171,6,140,3,137,421000,1612,9322,2293.218994
664650,6,143,1,326,421000,1612,9322,2038.803711
46283,6,143,2,25,421000,1612,9322,1851.319946
251189,6,143,3,140,421000,1612,9322,1794.207153
1653936,6,182,1,582,421000,1612,9322,2841.814453
129411,6,182,2,26,421000,1612,9322,4977.346191
395388,6,182,3,187,421000,1612,9322,2114.374268
734664,6,183,1,381,421000,1612,9322,1928.251953
61785,6,183,2,38,421000,1612,9322,1625.921021
307032,6,183,3,183,421000,1612,9322,1677.770508
9380569,6,209,1,821,421000,1612,9322,11425.78418
365713,6,209,2,29,421000,1612,9322,12610.79297
1548143,6,209,3,143,421000,1612,9322,10826.1748
1486897,6,215,1,274,421000,1612,9322,5426.631348
218900,6,215,2,33,421000,1612,9322,6633.333496
619594,6,215,3,134,421000,1612,9322,4623.835938
1362916,6,243,1,573,421000,1612,9322,2378.562012
76964,6,243,2,29,421000,1612,9322,2653.931152
674224,6,243,3,337,421000,1612,9322,2000.664673
1938974,6,359,1,525,421000,1612,9322,3693.283691
283262,6,359,2,87,421000,1612,9322,3255.88501
633577,6,359,3,158,421000,1612,9322,4009.980957
2370918,6,371,1,706,421000,1612,9322,3358.240723
344991,6,371,2,117,421000,1612,9322,2948.641113
630604,6,371,3,183,421000,1612,9322,3445.923584
3747672,6,373,1,2861,421000,1612,9322,1309.91687
606391,6,373,2,433,421000,1612,9322,1400.441162
1032256,6,373,3,811,421000,1612,9322,1272.818726
314210,6,390,1,386,421000,1612,9322,814.015564
48652,6,390,2,45,421000,1612,9322,1081.155518
110065,6,390,3,130,421000,1612,9322,846.6538696
2008777,6,391,1,3224,421000,1612,9322,623.0697632
296831,6,391,2,417,421000,1612,9322,711.8249512
598513,6,391,3,1015,421000,1612,9322,589.6679688
1780256,6,410,1,764,421000,1612,9322,2330.177979
238436,6,410,2,103,421000,1612,9322,2314.912598
295047,6,410,3,117,421000,1612,9322,2521.769287
3864421,6,430,1,727,421000,1612,9322,5315.572266
380480,6,430,2,60,421000,1612,9322,6341.333496
1219430,6,430,3,261,421000,1612,9322,4672.145508
989799,6,435,1,473,421000,1612,9322,2092.598389
76917,6,435,2,41,421000,1612,9322,1876.024414
1067896,6,435,3,629,421000,1612,9322,1697.767944
697882,7,14,1,198,138000,383,8134,3524.656494
40752,7,14,3,12,138000,383,8134,3396
1107327,7,89,1,277,138000,383,8134,3997.570313
96770,7,89,3,26,138000,383,8134,3721.923096
35004,7,112,1,8,138000,383,8134,4375.5
2831,7,112,3,1,138000,383,8134,2831
1130865,7,127,1,356,138000,383,8134,3176.587158
55165,7,127,3,13,138000,383,8134,4243.461426
508922,7,140,1,194,138000,383,8134,2623.309326
12376,7,140,2,4,138000,383,8134,3094
63584,7,140,3,24,138000,383,8134,2649.333252
261319,7,143,1,125,138000,383,8134,2090.552002
1950,7,143,2,1,138000,383,8134,1950
61467,7,143,3,31,138000,383,8134,1982.806396
335917,7,182,1,136,138000,383,8134,2469.978027
4829,7,182,2,1,138000,383,8134,4829
46075,7,182,3,18,138000,383,8134,2559.722168
248662,7,183,1,144,138000,383,8134,1726.819458
3910,7,183,2,3,138000,383,8134,1303.333374
53213,7,183,3,35,138000,383,8134,1520.37146
460583,7,209,1,58,138000,383,8134,7941.086426
48631,7,209,3,5,138000,383,8134,9726.200195
29397,7,215,1,7,138000,383,8134,4199.571289
22805,7,215,3,7,138000,383,8134,3257.857178
259383,7,243,1,125,138000,383,8134,2075.063965
3745,7,243,2,2,138000,383,8134,1872.5
73005,7,243,3,39,138000,383,8134,1871.923096
211589,7,359,1,59,138000,383,8134,3586.25415
31382,7,359,2,8,138000,383,8134,3922.75
104252,7,359,3,28,138000,383,8134,3723.285645
660880,7,371,1,203,138000,383,8134,3255.566406
34450,7,371,2,8,138000,383,8134,4306.25
141263,7,371,3,42,138000,383,8134,3363.404785
554490,7,373,1,496,138000,383,8134,1117.92334
39829,7,373,2,31,138000,383,8134,1284.806396
199899,7,373,3,159,138000,383,8134,1257.22644
27085,7,390,1,42,138000,383,8134,644.8809814
2012,7,390,2,3,138000,383,8134,670.666687
6427,7,390,3,11,138000,383,8134,584.2727051
358223,7,391,1,728,138000,383,8134,492.0645752
18683,7,391,2,38,138000,383,8134,491.6578979
103108,7,391,3,221,138000,383,8134,466.5520325
7715,7,410,1,5,138000,383,8134,1543
259348,7,430,1,73,138000,383,8134,3552.712402
1212,7,430,2,2,138000,383,8134,606
190796,7,430,3,46,138000,383,8134,4147.739258
39432,7,435,1,37,138000,383,8134,1065.729736
27462,7,435,3,20,138000,383,8134,1373.099976
