date,exhkus,exeuus
07/07/06,7.7682,0.7799
07/10/06,7.7707,0.7843
07/11/06,7.773,0.7841
07/12/06,7.7759,0.787
07/13/06,7.7754,0.7891
07/14/06,7.7753,0.7911
07/17/06,7.7751,0.7981
07/18/06,7.774,0.8
07/19/06,7.7756,0.7962
07/20/06,7.7756,0.7912
07/21/06,7.7754,0.7884
07/24/06,7.7773,0.7918
07/25/06,7.7775,0.7952
07/26/06,7.7775,0.7919
07/27/06,7.7717,0.7854
07/28/06,7.7703,0.7844
07/31/06,7.7703,0.7835
08/01/06,7.7723,0.7826
08/02/06,7.7735,0.7814
08/03/06,7.7726,0.7825
08/04/06,7.7742,0.7756
08/07/06,7.7755,0.7772
08/08/06,7.776,0.7789
08/09/06,7.7769,0.7759
08/10/06,7.7768,0.7834
08/11/06,7.7772,0.7839
08/14/06,7.7785,0.7852
08/15/06,7.7789,0.782
08/16/06,7.7768,0.7774
08/17/06,7.7748,0.777
08/18/06,7.7732,0.7806
08/21/06,7.7752,0.7744
08/22/06,7.7764,0.781
08/23/06,7.777,0.7816
08/24/06,7.7766,0.7837
08/25/06,7.7796,0.7833
08/28/06,7.779,0.7822
08/29/06,7.7776,0.7832
08/30/06,7.7774,0.7797
08/31/06,7.7767,0.7817
09/01/06,7.778,0.7792
09/05/06,7.7776,0.7806
09/06/06,7.7772,0.782
09/07/06,7.7767,0.7839
09/08/06,7.7781,0.7891
09/11/06,7.7785,0.7875
09/12/06,7.7793,0.7878
09/13/06,7.7808,0.7869
09/14/06,7.7819,0.7852
09/15/06,7.7825,0.7906
09/18/06,7.7841,0.7892
09/19/06,7.7862,0.7885
09/20/06,7.7855,0.7873
09/21/06,7.7834,0.7855
09/22/06,7.7827,0.7815
09/25/06,7.7837,0.7845
09/26/06,7.7866,0.7882
09/27/06,7.7878,0.7875
09/28/06,7.7884,0.7876
09/29/06,7.7913,0.7882
10/02/06,7.7911,0.7847
10/03/06,7.7907,0.7857
10/04/06,7.7917,0.7882
10/05/06,7.7865,0.7882
10/06/06,7.7852,0.7937
10/10/06,7.7928,0.7974
10/11/06,7.7927,0.797
10/12/06,7.7906,0.7976
10/13/06,7.7889,0.7999
10/16/06,7.7837,0.7988
10/17/06,7.7802,0.7959
10/18/06,7.7839,0.799
10/19/06,7.7875,0.794
10/20/06,7.7847,0.7928
10/23/06,7.7815,0.7972
10/24/06,7.7812,0.7959
10/25/06,7.7818,0.7942
10/26/06,7.7809,0.7893
10/27/06,7.7751,0.7859
10/30/06,7.7746,0.7863
10/31/06,7.778,0.7829
11/01/06,7.7765,0.783
11/02/06,7.7762,0.7825
11/03/06,7.7774,0.7871
11/06/06,7.7818,0.7865
11/07/06,7.7848,0.7809
11/08/06,7.7838,0.7828
11/09/06,7.7838,0.7791
11/10/06,7.7824,0.7775
11/13/06,7.7844,0.7806
11/14/06,7.7842,0.7805
11/15/06,7.7859,0.7808
11/16/06,7.7856,0.7808
11/17/06,7.7875,0.7798
11/20/06,7.7864,0.7806
11/21/06,7.7859,0.7798
11/22/06,7.7864,0.7735
11/24/06,7.7759,0.7645
11/27/06,7.7761,0.7622
11/28/06,7.7753,0.7598
11/29/06,7.7751,0.7607
11/30/06,7.7779,0.7541
12/01/06,7.7748,0.751
12/04/06,7.7722,0.7504
12/05/06,7.7709,0.7504
12/06/06,7.77,0.7515
12/07/06,7.7665,0.7521
12/08/06,7.7736,0.7567
12/11/06,7.7733,0.7563
12/12/06,7.7731,0.7557
12/13/06,7.7712,0.7567
12/14/06,7.7708,0.7591
12/15/06,7.7721,0.7637
12/18/06,7.7725,0.7649
12/19/06,7.7752,0.7579
12/20/06,7.7743,0.7586
12/21/06,7.7756,0.759
12/22/06,7.7771,0.7616
12/26/06,7.7787,0.7615
12/27/06,7.7741,0.7619
12/28/06,7.7719,0.76
12/29/06,7.7771,0.7577
01/02/07,7.7797,0.7527
01/03/07,7.7867,0.7594
01/04/07,7.7885,0.7637
01/05/07,7.7908,0.7689
01/08/07,7.7946,0.7679
01/09/07,7.7974,0.7695
01/10/07,7.7983,0.7728
01/11/07,7.7977,0.775
01/12/07,7.7992,0.7736
01/16/07,7.8005,0.7741
01/17/07,7.8039,0.7723
01/18/07,7.81,0.7727
01/19/07,7.8072,0.7711
01/22/07,7.7973,0.7718
01/23/07,7.7998,0.7678
01/24/07,7.8035,0.7714
01/25/07,7.8063,0.7704
01/26/07,7.8091,0.7747
01/29/07,7.8112,0.7723
01/30/07,7.81,0.772
01/31/07,7.8078,0.7693
02/01/07,7.8041,0.768
02/02/07,7.8068,0.7716
02/05/07,7.8086,0.7732
02/06/07,7.809,0.7711
02/07/07,7.813,0.768
02/08/07,7.8141,0.7672
02/09/07,7.8131,0.7689
02/12/07,7.8136,0.7715
02/13/07,7.8141,0.7678
02/14/07,7.8133,0.7618
02/15/07,7.8087,0.761
02/16/07,7.8124,0.7612
02/20/07,7.8141,0.7614
02/21/07,7.8127,0.7618
02/22/07,7.8112,0.7614
02/23/07,7.8087,0.7596
02/26/07,7.8127,0.7599
02/27/07,7.8136,0.7549
02/28/07,7.8119,0.7559
03/01/07,7.8119,0.7591
03/02/07,7.8146,0.7586
03/05/07,7.8149,0.7637
03/06/07,7.8151,0.7629
03/07/07,7.8177,0.7606
03/08/07,7.8129,0.7617
03/09/07,7.8141,0.7623
03/12/07,7.8143,0.7584
03/13/07,7.8154,0.7576
03/14/07,7.8148,0.756
03/15/07,7.8116,0.7548
03/16/07,7.8108,0.7515
03/19/07,7.8124,0.7519
03/20/07,7.8124,0.7524
03/21/07,7.8107,0.7516
03/22/07,7.8093,0.7486
03/23/07,7.8105,0.7518
03/26/07,7.813,0.7499
03/27/07,7.813,0.7487
03/28/07,7.8139,0.7501
03/29/07,7.8127,0.7499
03/30/07,7.8137,0.7477
04/02/07,7.8155,0.7477
04/03/07,7.8153,0.7483
04/04/07,7.8166,0.7483
04/05/07,7.8162,0.7448
04/06/07,7.8174,0.7474
04/09/07,7.8175,0.7481
04/10/07,7.8124,0.7443
04/11/07,7.8129,0.7443
04/12/07,7.8143,0.7416
04/13/07,7.812,0.7398
04/16/07,7.8134,0.738
04/17/07,7.8117,0.737
04/18/07,7.8095,0.7367
04/19/07,7.8133,0.735
04/20/07,7.8137,0.7352
04/23/07,7.8148,0.7364
04/24/07,7.8154,0.7341
04/25/07,7.818,0.7328
04/26/07,7.821,0.7358
04/27/07,7.8212,0.7339
04/30/07,7.8212,0.7321
05/01/07,7.8222,0.7353
05/02/07,7.8215,0.7354
05/03/07,7.8211,0.7371
05/04/07,7.8207,0.736
05/07/07,7.8182,0.7344
05/08/07,7.818,0.739
05/09/07,7.8197,0.7381
05/10/07,7.8204,0.7401
05/11/07,7.8201,0.7397
05/14/07,7.8116,0.7383
05/15/07,7.8141,0.7351
05/16/07,7.8185,0.7395
05/17/07,7.8204,0.7411
05/18/07,7.8188,0.7401
05/21/07,7.8215,0.7431
05/22/07,7.8236,0.7427
05/23/07,7.8228,0.7417
05/24/07,7.8233,0.7447
05/25/07,7.8225,0.7434
05/29/07,7.8194,0.7417
05/30/07,7.8044,0.7452
05/31/07,7.8087,0.7433
06/01/07,7.8106,0.744
06/04/07,7.8062,0.7414
06/05/07,7.8086,0.7393
06/06/07,7.8116,0.7412
06/07/07,7.8146,0.7432
06/08/07,7.8157,0.7486
06/11/07,7.8141,0.7486
06/12/07,7.8167,0.7505
06/13/07,7.8148,0.7522
06/14/07,7.8169,0.7513
06/15/07,7.8188,0.7482
06/18/07,7.8171,0.7462
06/19/07,7.8171,0.7454
06/20/07,7.8141,0.7448
06/21/07,7.8123,0.7463
06/22/07,7.8151,0.7442
06/25/07,7.8122,0.7435
06/26/07,7.8126,0.7425
06/27/07,7.8147,0.7444
06/28/07,7.8165,0.7426
06/29/07,7.8184,0.7396
07/02/07,7.8165,0.7338
07/03/07,7.8129,0.7345
07/05/07,7.8173,0.7357
07/06/07,7.8175,0.7339
07/09/07,7.8148,0.7341
07/10/07,7.8158,0.7292
07/11/07,7.816,0.7269
07/12/07,7.8165,0.7259
07/13/07,7.8194,0.7253
07/16/07,7.8202,0.7254
07/17/07,7.8202,0.7256
07/18/07,7.8201,0.7242
07/19/07,7.8209,0.7241
07/20/07,7.8199,0.723
07/23/07,7.8202,0.7237
07/24/07,7.8218,0.7234
07/25/07,7.824,0.7293
07/26/07,7.8237,0.7283
07/27/07,7.8242,0.7328
07/30/07,7.8246,0.7309
07/31/07,7.8264,0.7293
08/01/07,7.8285,0.7309
08/02/07,7.8277,0.7303
08/03/07,7.8283,0.7254
08/06/07,7.8289,0.7252
08/07/07,7.8281,0.7274
08/08/07,7.8281,0.7242
08/09/07,7.8235,0.7299
08/10/07,7.8197,0.7307
08/13/07,7.8231,0.734
08/14/07,7.8224,0.7363
08/15/07,7.8203,0.7419
08/16/07,7.8181,0.7462
08/17/07,7.8137,0.7412
08/20/07,7.8189,0.7425
08/21/07,7.8073,0.7417
08/22/07,7.8081,0.7388
08/23/07,7.8093,0.7375
08/24/07,7.8005,0.7329
08/27/07,7.8035,0.7329
08/28/07,7.7991,0.7339
08/29/07,7.8042,0.7313
08/30/07,7.7975,0.7327
08/31/07,7.7968,0.7331
09/03/07,7.7968,0.7331
09/04/07,7.7947,0.735
09/05/07,7.7928,0.7316
09/06/07,7.7865,0.7301
09/07/07,7.7871,0.7261
09/10/07,7.7758,0.725
09/11/07,7.7864,0.7227
09/12/07,7.7878,0.7192
09/13/07,7.7889,0.7202
09/14/07,7.7873,0.7221
09/17/07,7.7875,0.7215
09/18/07,7.7888,0.721
09/19/07,7.7848,0.7168
09/20/07,7.7828,0.7096
09/21/07,7.7834,0.7104
09/24/07,7.7735,0.7099
09/25/07,7.7681,0.7078
09/26/07,7.7668,0.7079
09/27/07,7.7591,0.7073
09/28/07,7.7689,0.7033
10/01/07,7.7694,0.7028
10/02/07,7.7625,0.7061
10/03/07,7.7588,0.7075
10/04/07,7.759,0.7078
10/05/07,7.7556,0.7065
10/08/07,7.7556,0.7065
10/09/07,7.7604,0.7096
10/10/07,7.7559,0.7064
10/11/07,7.7555,0.7028
10/12/07,7.7535,0.7058
10/15/07,7.7536,0.7034
10/16/07,7.754,0.706
10/17/07,7.7541,0.7038
10/18/07,7.751,0.6997
10/19/07,7.7504,0.7011
10/22/07,7.7504,0.7073
10/23/07,7.7506,0.7019
10/24/07,7.7509,0.7024
10/25/07,7.7502,0.6993
10/26/07,7.7504,0.6949
10/29/07,7.7511,0.6942
10/30/07,7.7497,0.6933
10/31/07,7.7502,0.6912
11/01/07,7.7573,0.6928
11/02/07,7.7573,0.6906
11/05/07,7.7635,0.6911
11/06/07,7.763,0.687
11/07/07,7.7649,0.6818
11/08/07,7.7651,0.6807
11/09/07,7.7817,0.6819
11/13/07,7.787,0.685
11/14/07,7.789,0.6817
11/15/07,7.7866,0.6831
11/16/07,7.7819,0.6825
11/19/07,7.7818,0.6822
11/20/07,7.7795,0.6763
11/21/07,7.7808,0.6744
11/22/07,7.7808,0.6744
11/23/07,7.7779,0.6745
11/26/07,7.7844,0.6729
11/27/07,7.7838,0.6749
11/28/07,7.784,0.678
11/29/07,7.7885,0.6772
11/30/07,7.7874,0.6808
12/03/07,7.7879,0.6823
12/04/07,7.7911,0.6776
12/05/07,7.7944,0.6818
12/06/07,7.7932,0.6832
12/07/07,7.7938,0.6819
12/10/07,7.7966,0.6796
12/11/07,7.7967,0.6802
12/12/07,7.7984,0.6802
12/13/07,7.7966,0.6854
12/14/07,7.7991,0.6929
12/17/07,7.7974,0.6959
12/18/07,7.8023,0.6948
12/19/07,7.8005,0.6972
12/20/07,7.801,0.6967
12/21/07,7.8006,0.6963
12/24/07,7.8055,0.694
12/26/07,7.8073,0.6897
12/27/07,7.8012,0.6849
12/28/07,7.8047,0.6794
12/31/07,7.7984,0.6848
01/02/08,7.8107,0.6785
01/03/08,7.8047,0.6786
01/04/08,7.8003,0.6763
01/07/08,7.8015,0.681
01/08/08,7.8016,0.6795
