"state","class","gender","age","paid","logpaid"
"STATE 15","C11","M",85,7186.92,8.88001798619736
"STATE 17","C6 ","M",85,6854.02,8.83259062043438
"STATE 15","C11","M",85,6710.3,8.81139893835526
"STATE 06","C11","F",85,6130.31,8.72100059861407
"STATE 12","C6 ","F",85,4338.29,8.37523554023583
"STATE 02","C6 ","F",85,4277.12,8.36103516488265
"STATE 15","C6 ","F",85,3783.74,8.2384682174517
"STATE 06","C6 ","F",85,3735.9,8.22574403239521
"STATE 15","F6 ","M",85,3610.27,8.19153784077389
"STATE 15","F6 ","M",85,3549.95,8.17468879786323
"STATE 15","C11","M",85,3425.62,8.13903775621165
"STATE 02","F6 ","F",85,3376.9,8.12471340786539
"STATE 12","C6 ","M",85,3206.76,8.07301636059718
"STATE 15","C6 ","F",85,2788.24,7.93316585138924
"STATE 15","C6 ","M",85,2764.49,7.9246114484808
"STATE 02","C6 ","M",85,2724.04,7.9098713514494
"STATE 15","C6 ","M",85,2334.58,7.75558728240383
"STATE 15","F6 ","M",85,2300,7.74066440191724
"STATE 15","C11","F",85,2269,7.72709448477984
"STATE 04","C6 ","F",85,2249.45,7.71844102087261
"STATE 04","C11","M",85,2169.88,7.68242714546626
"STATE 02","C11","M",85,2015.32,7.60853327070498
"STATE 15","C6 ","M",85,1929.81,7.56517683145699
"STATE 17","F6 ","F",85,1924.69,7.56252019479268
"STATE 15","C6 ","M",85,1638.49,7.40153036497713
"STATE 15","C11","M",85,1209.52,7.09797886567195
"STATE 02","C11","F",85,1200,7.09007683577609
"STATE 14","C11","M",85,1134.63,7.0340618855794
"STATE 15","C11","F",85,1061.8,6.96772086014957
"STATE 04","C11","M",85,1056.18,6.96241390428594
"STATE 04","C6 ","M",85,1006.41,6.91414482230381
"STATE 15","F6 ","M",85,989.28,6.89697740581026
"STATE 15","F6 ","M",85,970.31,6.87761560806905
"STATE 17","C11","F",85,945.8,6.85203113020978
"STATE 02","C11","M",85,899.13,6.8014276291341
"STATE 04","C11","F",85,892.6,6.79413855219517
"STATE 15","C6 ","F",85,865.12,6.76286822563369
"STATE 06","C11","M",85,782.2,6.66211046232141
"STATE 04","F6 ","M",85,774.68,6.65245004085953
"STATE 03","C11","F",85,742.91,6.61057490682904
"STATE 06","C1 ","M",85,683.57,6.5273290649654
"STATE 04","C1 ","F",85,666.33,6.50178504331853
"STATE 02","C6 ","F",85,649.74,6.47657228286834
"STATE 02","C6 ","M",85,628.19,6.44284266848055
"STATE 17","C11","F",85,503.78,6.22213966483754
"STATE 02","C6 ","M",85,498.74,6.21208491787775
"STATE 04","C11","M",85,444.39,6.09670255526207
"STATE 03","C11","F",85,405.39,6.0048495667181
"STATE 15","C1 ","F",85,382.33,5.94628411002744
"STATE 07","C6 ","M",85,304.22,5.7177511238836
"STATE 01","F6 ","M",85,274.8,5.61604356034819
"STATE 03","C11","F",85,248.49,5.51540260327828
"STATE 15","C6 ","F",85,195.3,5.27453683788263
"STATE 02","C6 ","M",85,193.23,5.26388118922691
"STATE 15","F6 ","F",85,187.72,5.23495149092622
"STATE 15","C6 ","F",85,179.55,5.19045372067209
"STATE 15","C6 ","F",85,135.67,4.91022546649722
"STATE 02","C6 ","M",85,101.16,4.61670342180176
"STATE 15","C6 ","F",85,86.43,4.45933483776455
"STATE 03","C1 ","M",84,14639.15,9.59145472572046
"STATE 12","C1 ","F",84,11010.46,9.30660100904378
"STATE 07","C1B","M",84,10174.4,9.22763004051314
"STATE 06","F6 ","M",84,9475.74,9.15649012716481
"STATE 07","C11","F",84,9437.95,9.15249407453973
"STATE 15","C11","M",84,8124.98,9.00269854565645
"STATE 04","C11","F",84,7833.52,8.96616724096745
"STATE 06","C11","M",84,7610,8.93721845085573
"STATE 17","C11","M",84,7326.67,8.89927639424845
"STATE 17","F6 ","M",84,6986.85,8.85178508988061
"STATE 15","C6 ","M",84,6746.98,8.81685027634261
"STATE 02","C6 ","M",84,5301.72,8.57578657519418
"STATE 15","C6 ","M",84,4831.97,8.48300953098611
"STATE 10","C6 ","F",84,4476.68,8.40663697925129
"STATE 15","C11","M",84,4076.88,8.31308726897917
"STATE 06","C6 ","M",84,3740.21,8.22689703856486
"STATE 02","C11","M",84,3596.5,8.18771642930741
"STATE 15","C6 ","M",84,3043,8.02059914989697
"STATE 04","C11","M",84,2606.03,7.86558326951415
"STATE 02","C1 ","M",84,2589.5,7.85922008586395
"STATE 17","C6 ","F",84,2528.13,7.83523517799521
"STATE 03","F6 ","M",84,2501.97,7.8248337005473
"STATE 15","C11","M",84,2322.72,7.75049419171312
"STATE 15","C1 ","M",84,2133.62,7.66557534665214
"STATE 04","C11","M",84,1944.45,7.57273443971416
"STATE 06","C11","M",84,1879.54,7.53878234503369
"STATE 12","C1 ","F",84,1522.65,7.32820751689855
"STATE 14","C6 ","F",84,1491.69,7.30766498437661
"STATE 10","C6 ","F",84,1485.52,7.30352015829234
"STATE 12","C6 ","F",84,1472.05,7.29441126610325
"STATE 01","F6 ","M",84,1314.4,7.18113556672306
"STATE 15","F6 ","F",84,1223.3,7.10930740405287
"STATE 15","C6 ","M",84,1106.86,7.00928245677955
"STATE 04","C11","M",84,1032.14,6.9393895957554
"STATE 04","C11","F",84,1015.62,6.92325454242906
"STATE 15","C11","F",84,953.72,6.86037012732021
"STATE 02","C11","F",84,937.96,6.84370730417371
"STATE 07","C11","M",84,906.62,6.80972339870904
"STATE 17","C6 ","M",84,836.78,6.72956119245142
"STATE 02","C6 ","M",84,820.64,6.71008452364096
"STATE 01","C6 ","M",84,774.87,6.65269527334761
"STATE 10","C6 ","F",84,696.57,6.54616829068238
"STATE 10","C6 ","F",84,687.56,6.53314909845996
"STATE 02","C11","F",84,685.88,6.53070268531065
"STATE 15","C6 ","M",84,581.7,6.36595485091672
"STATE 15","C6 ","M",84,570.89,6.34719654661432
"STATE 15","C1 ","F",84,548.94,6.3079891459195
"STATE 04","F6 ","M",84,522.75,6.25910333830874
"STATE 04","C11","M",84,517.97,6.24991732552443
"STATE 03","C11","M",84,504.46,6.22348855022813
"STATE 14","C1 ","M",84,491.4,6.19725846008708
"STATE 15","C11","M",84,479,6.17170059741091
"STATE 15","C6 ","F",84,462.17,6.13593278876705
"STATE 01","C6 ","M",84,451.53,6.11264181583238
"STATE 07","C1B","M",84,426.19,6.05488525622642
"STATE 02","F6 ","M",84,403.61,6.00044906517945
"STATE 15","C6 ","F",84,398.95,5.98883609575429
"STATE 15","C6 ","F",84,393,5.97380961186926
"STATE 02","C11","M",84,368.32,5.90895212553352
"STATE 02","C6 ","F",84,363.75,5.8964668184857
"STATE 15","C6 ","M",84,359.44,5.8845472647619
"STATE 02","C11","M",84,356.07,5.87512734073652
"STATE 12","C6 ","M",84,343.25,5.83845904464808
"STATE 15","C11","M",84,340.03,5.82903384901182
"STATE 15","C11","M",84,339.51,5.82750340164596
"STATE 04","C11","M",84,305.69,5.72257151655278
"STATE 04","C11","F",84,288.3,5.66400160464436
"STATE 14","C6 ","F",84,266.8,5.58649931404147
"STATE 13","C6 ","M",84,224.6,5.41432104230434
"STATE 02","C6 ","F",84,186.97,5.23094817617718
"STATE 06","C6 ","M",84,143.7,4.96772779308498
"STATE 10","F6 ","F",84,125,4.8283137373023
"STATE 04","C6 ","M",83,12124.64,9.40299502464326
"STATE 15","C1 ","M",83,11051.5,9.3103214443395
"STATE 04","C11","F",83,11043.09,9.30956017197317
"STATE 12","C6 ","M",83,8324.07,9.02690659689672
"STATE 02","C11","M",83,7885.15,8.97273652267847
"STATE 15","F11","F",83,7834.57,8.96630127134404
"STATE 17","C11","M",83,7415.03,8.91126430041685
"STATE 15","C11","M",83,6180.88,8.72921593513656
"STATE 15","C11","F",83,4369.38,8.38237640159402
"STATE 15","C1 ","F",83,3992.63,8.29220544061104
"STATE 15","C11","F",83,3651.67,8.20293987618624
"STATE 15","C6 ","F",83,3634.26,8.19816079290202
"STATE 03","C11","F",83,3599.2,8.18846687752696
"STATE 15","C6 ","M",83,3505.61,8.16211982141586
"STATE 03","C11","M",83,3112.89,8.04330683412824
"STATE 15","C6 ","M",83,3092.83,8.03684180835529
"STATE 12","C1B","F",83,2683.16,7.89475048338478
"STATE 15","C11","F",83,2606,7.86557175768479
"STATE 15","C6 ","M",83,2520,7.83201418050547
"STATE 02","C11","M",83,2500,7.82404601085629
"STATE 15","C6 ","M",83,2460.3,7.80803857271048
"STATE 04","C11","M",83,2253.16,7.72008895433324
"STATE 15","C6 ","F",83,2229.05,7.70933076471795
"STATE 15","C11","F",83,2130.6,7.6641589091771
"STATE 04","F6 ","M",83,2049,7.6251071482389
"STATE 15","C6 ","M",83,1994.56,7.59817875362049
"STATE 15","C11","M",83,1921.22,7.5607156798968
"STATE 15","C6 ","M",83,1701.82,7.43945354560871
"STATE 15","C1 ","M",83,1472.87,7.29496815730653
"STATE 15","C11","M",83,1468.48,7.29198313120647
"STATE 15","C11","M",83,1444.89,7.27578847308144
"STATE 07","C6 ","M",83,1392.52,7.23887033435539
"STATE 17","C11","F",83,1368.76,7.2216604994742
"STATE 17","C6 ","M",83,1346.36,7.20515993358204
"STATE 17","C11","F",83,1335.27,7.19688879757615
"STATE 15","C1 ","F",83,1304.64,7.17368241963089
"STATE 04","F11","M",83,1275,7.15070145759253
"STATE 17","C11","F",83,1264.87,7.14272462908233
"STATE 15","C6 ","F",83,1231.08,7.11564711188762
"STATE 13","C11","M",83,1073.61,6.97878208063007
"STATE 06","C6 ","M",83,1028.87,6.93621639160417
"STATE 15","C6 ","F",83,997.05,6.9048009191557
"STATE 15","C1 ","M",83,944.7,6.85086741677509
"STATE 15","C6 ","F",83,910.68,6.81419157320382
"STATE 03","C11","M",83,904.68,6.80758129001161
"STATE 15","C6 ","F",83,872.18,6.77099582462523
"STATE 15","C6 ","M",83,868.69,6.76698632974572
"STATE 17","C11","M",83,801.39,6.68634771996098
"STATE 15","C11","M",83,772.23,6.64928243311434
"STATE 12","C6 ","M",83,764.1,6.63869867065352
"STATE 15","C6 ","M",83,730.53,6.5937702981093
"STATE 15","C11","M",83,714.55,6.5716529739278
"STATE 01","F6 ","M",83,708.92,6.56374268518694
"STATE 04","C11","M",83,701.82,6.55367696089067
"STATE 15","C6 ","M",83,688.67,6.53476220127081
"STATE 15","C11","M",83,685.59,6.5302797814129
"STATE 02","F6 ","M",83,640.86,6.46281102432966
"STATE 15","C6 ","M",83,596,6.39024066706535
"STATE 15","C6 ","M",83,565.39,6.33751575850952
"STATE 15","C11","M",83,557.57,6.32358805599033
"STATE 15","C6 ","M",83,549.96,6.30984554830903
"STATE 06","C6 ","M",83,515,6.24416690066374
"STATE 15","C11","M",83,505,6.22455842927536
"STATE 04","C11","M",83,495.48,6.205526989686
"STATE 07","C6 ","F",83,461.84,6.13521851075268
"STATE 02","C11","M",83,456.56,6.12372012622845
"STATE 02","C11","F",83,447.66,6.10403401571148
"STATE 04","C11","M",83,362.63,5.89338303069535
"STATE 15","C1 ","M",83,359.41,5.88446379811374
"STATE 15","F6 ","M",83,358.47,5.88184497452977
"STATE 14","C6 ","M",83,358.46,5.88181707780345
"STATE 02","C6 ","F",83,354.29,5.87011578680474
"STATE 02","F11","M",83,354.27,5.8700593342813
"STATE 15","C6 ","F",83,332.84,5.80766189403223
"STATE 02","C1 ","M",83,331.59,5.80389926599097
"STATE 15","C11","M",83,322.41,5.77582402752117
"STATE 15","C6 ","M",83,264.6,5.57821925168086
"STATE 17","C6 ","M",83,262.81,5.57143133763689
"STATE 02","C1 ","F",83,250,5.52146091786225
"STATE 02","C6 ","F",83,244.11,5.49761894337668
"STATE 14","C1 ","F",83,226.41,5.42234751496489
"STATE 15","C6 ","F",83,119.98,4.78732506222495
"STATE 15","C6 ","F",83,53.7,3.98341300151482
"STATE 15","C6 ","M",82,9619.48,9.17154548814472
"STATE 02","F6 ","F",82,9377.82,9.14610260560736
"STATE 06","C1 ","F",82,7487.11,8.92093815425579
"STATE 15","C6 ","F",82,7444.98,8.91529525874781
"STATE 06","C6 ","M",82,6621.64,8.79809835238899
"STATE 15","C6 ","F",82,6460.23,8.77342019985802
"STATE 15","C6 ","M",82,6282.92,8.74559011955091
"STATE 03","C6 ","F",82,5871.55,8.67787393248036
"STATE 15","C6 ","M",82,5792.79,8.66436931979222
"STATE 04","F1 ","F",82,5748.28,8.65665595860818
"STATE 02","C6 ","M",82,5540.07,8.61976241504057
"STATE 04","C1 ","M",82,5390.83,8.59245464091625
"STATE 02","C6 ","F",82,4318.67,8.37070276346597
"STATE 15","C1B","M",82,4218.09,8.34713769793769
"STATE 15","C1 ","F",82,4173.63,8.33654143972145
"STATE 13","C11","M",82,4043.46,8.30485604006701
"STATE 15","C6 ","M",82,3367.26,8.12185463625698
"STATE 06","C6 ","M",82,3234.22,8.08154306503419
"STATE 15","C11","M",82,3118.5,8.04510739596618
"STATE 12","C6 ","F",82,3023,8.01400499477946
"STATE 01","C6 ","M",82,2983.48,8.00084568340355
"STATE 12","C6 ","F",82,2815.14,7.94276727290728
"STATE 15","C11","M",82,2495.8,7.82236459807375
"STATE 15","C6 ","F",82,2362.89,7.76764072510888
"STATE 14","C11","F",82,2288,7.73543335249969
"STATE 15","C11","F",82,2007.78,7.6047849130563
"STATE 07","C6 ","F",82,1936.69,7.56873560929804
"STATE 02","C6 ","M",82,1816.41,7.50461730460393
"STATE 17","C6 ","F",82,1595.67,7.37504898971323
"STATE 02","C11","F",82,1553.53,7.34828503987934
"STATE 01","F6 ","M",82,1500,7.3132203870903
"STATE 12","C6 ","M",82,1463.34,7.28847677319939
"STATE 15","C1 ","F",82,1441.76,7.27361986848673
"STATE 15","C11","M",82,1388.48,7.23596490260999
"STATE 14","C6 ","M",82,1384.13,7.23282706240225
"STATE 02","C6 ","F",82,1298.89,7.16926533256152
"STATE 02","C11","F",82,1278.84,7.15370869602086
"STATE 15","C11","M",82,1176.97,7.07069861840528
"STATE 15","C6 ","M",82,1139.6,7.03843260262375
"STATE 04","C11","F",82,1113.15,7.01494911308425
"STATE 14","F1 ","M",82,1111.55,7.013510716648
"STATE 07","C11","M",82,1061.67,6.96759841905065
"STATE 03","C6 ","M",82,1061.34,6.96728753968347
"STATE 15","C6 ","F",82,1039.33,6.94633155376038
"STATE 15","C11","M",82,1029,6.93634273583405
"STATE 02","C11","M",82,1007.6,6.91532654447846
"STATE 15","C6 ","M",82,1000,6.90775527898214
"STATE 02","C6 ","F",82,958.34,6.86520262106088
"STATE 02","C11","M",82,952.05,6.85861755442059
"STATE 15","C11","M",82,921.93,6.82646929876549
"STATE 04","C11","F",82,870.19,6.76871157860943
"STATE 04","C6 ","F",82,821.81,6.71150922478608
"STATE 15","C6 ","M",82,806.61,6.69284028008124
"STATE 17","C6 ","F",82,761.19,6.63488299818384
"STATE 15","C6 ","M",82,746.89,6.61591791860021
"STATE 04","C11","M",82,733.99,6.59849540454351
"STATE 15","C11","M",82,724.77,6.58585436314367
"STATE 15","C11","F",82,713.42,6.57007030729493
"STATE 10","C11","F",82,688.55,6.53458793717313
"STATE 15","C6 ","F",82,688.3,6.53422478940432
"STATE 04","C11","M",82,685.13,6.52960860127798
"STATE 02","C6 ","M",82,644.87,6.46904874609417
"STATE 03","C6 ","F",82,640.85,6.46279542017583
"STATE 02","C6 ","F",82,638.2,6.45865171384414
"STATE 15","C6 ","F",82,618.13,6.42669879132303
"STATE 17","C11","M",82,595.65,6.38965324624537
"STATE 04","F1 ","F",82,512.28,6.23887135055787
"STATE 15","C1 ","F",82,507.31,6.22912225658021
"STATE 06","C11","M",82,502.28,6.21915773312076
"STATE 07","C11","F",82,489.86,6.19411963599486
"STATE 15","C6 ","F",82,489.1,6.19256696754531
"STATE 15","C6 ","F",82,485.66,6.18550879059692
"STATE 15","F6 ","M",82,443.1,6.09379547820544
"STATE 14","F6 ","M",82,420.14,6.04058798906753
"STATE 15","C6 ","F",82,411.9,6.02078060144204
"STATE 15","C6 ","F",82,293.75,5.68272906545837
"STATE 17","C6 ","F",82,257.41,5.55067014444623
"STATE 17","C6 ","F",82,248.86,5.51689048934749
"STATE 03","C11","M",82,189.84,5.24618161212751
"STATE 02","C6 ","F",82,188.61,5.23968139106308
"STATE 06","C6 ","M",82,152.41,5.02657425789776
"STATE 17","C11","M",82,150.01,5.0107019585408
"STATE 02","C11","F",82,117.4,4.765586907394
"STATE 15","C1 ","M",82,68,4.21950770517611
"STATE 04","C11","M",82,42.32,3.74525978755004
"STATE 02","C1 ","M",81,12714.43,9.45049284790918
"STATE 15","C6 ","M",81,10116.07,9.22188052749703
"STATE 15","F6 ","M",81,9704.25,9.18031921286417
"STATE 02","C1B","M",81,8523.02,9.05052601711112
"STATE 06","C6 ","M",81,7063.08,8.86263649597652
"STATE 17","C1 ","F",81,5881.62,8.67958751315079
"STATE 04","C11","F",81,4962.54,8.50967298541636
"STATE 11","C6 ","F",81,4635,8.44139147799996
"STATE 15","C6 ","M",81,4516.61,8.41551699143557
"STATE 17","C11","F",81,4387.11,8.38642597493438
"STATE 06","C6 ","F",81,4288.59,8.36371328656913
"STATE 15","C6 ","M",81,4098.25,8.31831533230657
"STATE 15","C6 ","F",81,3334.19,8.11198505028923
"STATE 15","C6 ","M",81,3076.32,8.03148935642403
"STATE 15","C6 ","F",81,2866.99,7.96101797791077
"STATE 07","C6 ","M",81,2786.21,7.93243752838348
"STATE 06","C11","F",81,2679.55,7.8934041489586
"STATE 15","C6 ","F",81,2591.51,7.85999599639137
"STATE 15","C6 ","M",81,2500,7.82404601085629
"STATE 15","C6 ","M",81,2440.38,7.79990904386631
"STATE 15","C11","F",81,2425,7.79358680337158
