INSOLVNT,ASSET87,ASSET88,ANN_PREM,CUR_LIAB,SURPLUS,COMM_PRM,PREM_LEV,LIAB_LEV,COMPANY,STATE,INDUSTRY,RATING
0,52.03499985,47.41699982,22.69799995,9.517000198,29.99699974,23.60000038,0.756675661,0.317265064,Farmers Home Mutual Ins. Co.,  MN,    Homeowners, A+
0,50.26100159,50.48300171,26.30500031,18.86300087,17.06800079,15.19999981,1.541188121,1.105167508,Minnesota Mutual Fire & Casualty,  MN, Auto Liab.& Physical, A
0,1024.748047,830.0269775,599.6699829,446.9590149,284.6640015,0.100000001,2.10658884,1.570128322,Federated Mutual Ins. Co.,  MN,        Other, A+
0,14.04100037,11.34200001,7.987999916,3.246000051,6.971000195,22.20000076,1.145890117,0.465643376,Gopher State Mutual Ins. Co.,  MN,    Homeowners, A+
0,165.003006,143.1649933,97.96700287,66.66100311,56.76100159,18.70000076,1.725956202,1.174415588,Northland Ins. Co.,  MN, Auto Liab.& Physical, A+
0,7112.503906,6018.887207,2536.112061,4595.168945,1197.599976,11.80000019,2.117662191,3.836981535,St. Paul Fire & Marine Ins.,  MN, Medical Malpractice, A+
0,41.35300064,34.68799973,12.93900013,23.42399979,12.09200001,12.5,1.070046306,1.937148452,Athena Assurance,  MN, Medical Malpractice, A+
0,16.35400009,14.8409996,108.1179962,0.003,16.34900093,15.39999962,6.613125801,0.000183497,St. Paul Guardian Ins. Co.,  MN,    Homeowners, A
0,798.3859863,787.7839966,337.7650146,473.8469849,206.7169952,13.80000019,1.633948922,2.29224968,Michigan Mutual Ins. Co.,  MI, Auto Liab.& Physical, A
0,11.70100021,10.37100029,9.484000206,3.421000004,4.151000023,16.70000076,2.2847507,0.824138761,Wolverine Mutual Ins. Co.,  MI, Auto Liab.& Physical, A
0,579.1380005,546.9110107,380.7130127,140.1860046,168.5720062,18.89999962,2.25845933,0.83160907,Foremont MUtual Ins. Co.,  MI, Auto Liab.& Physical, A+
0,25.69400024,22.49099922,16.22500038,4.875,13.25,19.70000076,1.224528313,0.367924541,Freemont Mutual Ins. Co.,  MI,     Homeowners, A
0,35.26599884,30.0529995,17.16500092,18.27700043,8.102999687,15.39999962,2.11835146,2.255584478,Kansas Fire & Casualty Co.,  KA, Commercial Multiperil, A+
0,4.599999905,3.569999933,7.933000088,1.404000044,2.401000023,2.299999952,3.304039955,0.584756374,West General Ins. Co.,  KA,  Group Auto & Health, na
0,586.9920044,570.1550293,212.6450043,282.8359985,191.4149933,13.19999981,1.110910892,1.477606297,Western Casualty & Surety,  KA,     Auto Liability, A
0,13.05000019,13.33600044,9.32199955,4.026000023,3.871999979,16.89999962,2.407541275,1.039772749,Plains Ins. Co.,  KA, Auto Liab.& Physical, C-
0,9.663000107,9.184000015,5.649000168,0.707000017,5.743000031,20.70000076,0.983632267,0.12310639,Breman Farmer's Mutual Ins. Co.,  IL,      Homeowners, A+
0,774.2600098,712.9240112,378.4429932,299.3980103,321.5490112,10.19999981,1.176937222,0.931111574,Country Mutual Ins. Co.,  IL, Auto Liab.& Physical, A+
0,27101.16016,23679.04883,13533.75,8669.124023,13985.98242,0.800000012,0.967665315,0.619843781,State Farm Mutual Auto Ins.,  IL, Auto Liab.& Physical, A+
0,8089.913086,6730.653809,4875.748047,2267.852051,3025.343018,15,1.611634731,0.749618173,State Farm Fire & Casualty,  IL,     Homeowners, A+
0,42.06700134,46.89300156,-1.774999976,32.6609993,7.105000019,5.300000191,-0.249824062,4.596903324,American Medical Assurance,  IL,  Medical Malpractice, na
0,234.548996,173.1089935,120.1360016,132.6799927,41.68600082,11.19999981,2.881926775,3.18284297,Casualty Ins. Co.,  IL, Worker's Compensation, A
0,308.3859863,247.6690063,110.1449966,202.5279999,52.34000015,14.5,2.104413271,3.869468927,Columbia Casualty Co.,  IL, Worker's Compensation, A+
0,20.3239994,18.68499947,8.659000397,3.236000061,8.937000275,13.60000038,0.968893409,0.36209017,Delta Casualty Co.,  IL,    Auto Liability, A
0,624.7509766,579.9379883,307.5650024,369.8359985,111.7340012,11.30000019,2.752653599,3.309968233,National Ben Franklin of Illinois,  IL, Commercial Multiperil, A
0,541.5689697,500.6390076,222.4440002,360.6409912,84.5490036,11.39999962,2.63094759,4.265467167,National Surety Corp.,  IL, Commercial Multiperil, A
0,86.83599854,70.36100006,70.70400238,47.62599945,17.88500023,21.89999962,3.953257084,2.662901878,Safeway Ins. Co.,  IL, Auto Liab.& Physical, B-
0,1711.107056,1569.959961,510.7879944,1102.374023,412.5969849,13,1.237982869,2.671793699,Aetna Casualty & Surety of Illinois,  IL, Worker's Compensation, A
0,155.4530029,121.3880005,71.62799835,70.17700195,43.7179985,12.60000038,1.638409853,1.60521996,Safeco Ins. Co. of Illinois,  IL, Auto Liab.& Physical, A+
0,296.8609924,258.2539978,130.2929993,136.5590057,103.6159973,2.900000095,1.257460237,1.317933559,John Deere Ins. Co.,  IL, Auto Liab.& Physical, A+
0,88.81199646,68.18099976,48.08599854,49.89500046,35.8429985,7.400000095,1.341573,1.392043114,Lincoln National Health & Casualty Ins.,  IN, Group Auto & Health, na
0,119.4209976,74.33100128,90.88400269,38.23300171,34.72700119,20,2.617099047,1.100958943,Meridian Security Ins. Co.,  IN, Auto Liab.& Physical, A
0,6.545000076,5.150000095,3.690000057,1.613999963,2.188999891,24.5,1.68570137,0.737322986,Universal Fire & Casualty Ins.,  IN,     Homeowners, na
0,496.9979858,436.0180054,234.8439941,269.5679932,129.0829926,14.80000019,1.819325566,2.088330746,Employers Mutual Casualty Co.,  IA, Auto Liab.& Physical, A
0,80.60399628,74.05200195,34.2519989,29.04899979,33.89199829,17.5,1.010622025,0.857104957,Hawkeye Security Ins. Co.,  IA, Auto Liab.& Physical, B+
0,7.999000072,7.270999908,5.750999928,2.907000065,2.996999979,15.5,1.918918967,0.969969988,Iowa Mutual Group,  IA, Auto Liab.& Physical, na
0,221.621994,212.6909943,136.2480011,92.28299713,90.56700134,11.30000019,1.504389048,1.018947244,Preferred Risk Mutual,  IA, Commercial Multiperil, A
1,19.34000015,20.57900047,16.02499962,11.46000004,3.186000109,32.70000076,5.029817581,3.596986771,Heritage Ins. Co.,  IL,,
1,26.98800087,30.21899986,19.72500038,16.00099945,11.03600025,0,1.787332416,1.44989121,Allied Fidelity,  IN,,
1,25.93000031,22.21899986,4.488999844,17.00499916,-1.720999956,26.29999924,-2.608367205,-9.880883217,Presidio Ins. Co.,  IN,,
1,70.06099701,72.43199921,41.54199982,43.7820015,7.217999935,12.69999981,5.7553339,6.065669537,Carriers Ins. Co.,  IA,,
1,2.911999941,4.235000134,6.532000065,2.023999929,1.07099998,25.5,6.098973274,1.889822602,Merchants & Manufacturers Ins. Co.,  OH,,
1,82.91899872,22.86700058,42.3769989,0,5.303999901,23,7.989630222,0,American Druggists Ins. Co.,  IL,,
1,84.96600342,77.95200348,27.40399933,54.2480011,11.2329998,20,2.439597607,4.829342365,Optimum Ins. Co.,  IL,, C+
1,180.552002,195.9830017,136.2810059,86.66300201,54.23300171,19,2.51287961,1.597975373,Iowa National Mutual Ins. Co.,  IA,, A+
1,176.4409943,155.1329956,40.79399872,63.05099869,44.70000076,15,0.912617385,1.410536885,Transit Ins. Co.,  MO,, B+
1,10.35599995,8.258999825,5.81799984,5.06799984,1.202999949,39,4.836242676,4.212801456,Columbus Ins. Co.,  OH,,
1,0.85799998,0.541999996,75.88899994,0.064000003,0.404000014,22,187.8440552,0.158415839,American Protective Excess Ins. Co.,  IL,,
1,7.013000011,5.369999886,-1.718000054,0.582000017,3.852999926,0.300000012,-0.445886344,0.151051134,Warner Reciprocal Ins.,  IL,, A
1,30.43300056,35.72100067,20.04700089,20.04700089,7.465000153,3,2.685465574,2.685465574,Excaliber,  MN,, C+
1,26.72100067,13.24100018,12.95400047,6.092999935,2.516000032,18.5,5.148648739,2.421700954,Reliable Ins. Co.,  OH,,
1,48.48600006,47.27999878,11.31900024,38.82600021,1.486999989,1.200000048,7.611970425,26.11028862,Professional Mutual Ins. Co.,  MO,,
