CL,YR,PR,LOSS
16,4,31886024,815234
16,5,37129722,787158
16,6,35982441,867186
16,7,35300899,434384
17,1,38056609,501744
17,2,27027036,490322
17,3,34508011,288718
17,4,47219834,733864
17,5,47544814,1089948
17,6,38168079,663617
17,7,32437577,582524
18,1,24859345,111484
18,2,31348102,292036
18,3,34311081,309761
18,4,38116969,903327
18,5,40921687,309404
18,6,46388415,844651
18,7,29413879,622879
19,1,6625,0
19,2,11130,0
19,3,276172,0
19,4,116042,0
19,5,13727,0
19,6,11289,0
19,7,7509,0
20,1,251151,0
20,2,265961,0
20,3,584921,39110
20,4,912410,0
20,5,790496,182828
20,6,1459268,158752
20,7,1198147,15218
21,1,1066125,0
21,2,1248303,76795
21,3,1685603,0
21,4,955740,0
21,5,2168747,36088
21,6,1843376,62788
21,7,2353645,69600
22,1,4721960,126583
22,2,4936589,124071
22,3,5988667,112488
22,4,6836759,158834
22,5,7670467,532500
22,6,5103933,43724
22,7,4365821,3500
23,1,907636,0
23,2,1145044,0
23,3,1278710,0
23,4,1248136,0
23,5,1311819,0
23,6,1362253,0
23,7,956184,0
25,1,23173030,117766
25,2,27970610,243929
25,3,32939613,352193
25,4,34898819,576683
25,5,38666318,203312
25,6,39018294,639064
25,7,43386511,423313
26,1,8155680,368612
26,2,10010676,227886
26,3,6232545,224393
26,4,7394027,269011
26,5,8827295,187958
26,6,8244511,270941
26,7,8357388,103073
27,1,33174216,992111
27,2,33929034,861857
27,3,33930095,1229651
27,4,31335349,1194090
27,5,27986197,674696
27,6,27960360,911083
27,7,24171183,595925
28,1,24864691,171768
28,2,24513649,478225
28,3,24202768,304261
28,4,29462623,405819
28,5,30570568,490959
28,6,32674597,655637
28,7,33601901,194720
29,1,21143095,193805
29,2,21949119,591933
29,3,33006399,1376195
29,4,35012750,1569869
29,5,35093028,1770362
29,6,31437635,1584526
29,7,38785568,686330
30,1,14063006,83244
30,2,17535057,97882
30,3,17521388,230937
30,4,20951695,166281
30,5,22305798,80926
30,6,23607400,145161
30,7,25766947,251852
31,1,31844283,727509
31,2,33844240,637332
31,3,43055585,824169
31,4,46934412,1212279
31,5,57825009,1092508
31,6,43149035,1058647
31,7,40664379,448471
32,1,109890415,2108179
32,2,138889855,4121925
32,3,172495213,3687446
32,4,184236306,3968537
32,5,198716792,5204079
32,6,161794404,3881944
32,7,154990570,2142559
33,1,15534295,147874
33,2,17652385,189352
33,3,19034096,157894
33,4,15078778,219586
33,5,19666426,499935
33,6,9352445,136531
33,7,11897928,107634
34,1,38033198,401014
34,2,47911424,143187
34,3,55326918,183812
34,4,66707182,247650
34,5,77034529,222286
34,6,75453903,217292
34,7,76011263,108300
35,1,24679406,20496
35,2,29243897,52714
35,3,33420158,83450
35,4,26693266,9500
35,5,23889630,10642
35,6,24554121,149565
35,7,16712481,0
36,1,81639041,2315716
36,2,88096749,2068151
36,3,96589758,2348199
36,4,90214474,2927326
36,5,91415878,2076388
36,6,78948454,2192662
36,7,75541403,1315745
37,1,141679901,1039667
37,2,152507292,1168176
37,3,151544121,1684628
37,4,172714585,1709070
37,5,118112741,22411146
37,6,188540013,1846560
37,7,188080205,795193
38,1,138433273,2270992
38,2,148751843,2670269
38,3,171364057,3154485
38,4,180969565,2910129
38,5,190962808,4194534
38,6,163181576,2940649
38,7,144772872,1190392
39,1,7584291,188300
39,2,7663938,216447
39,3,5816169,227945
39,4,4519795,120519
39,5,4173473,239610
39,6,2813954,74187
39,7,1751035,92809
40,1,1679525,257004
40,2,1659623,22500
40,3,2100761,179596
40,4,2444614,78045
40,5,2290289,136500
40,6,1769603,132421
40,7,16939,0
41,1,89617108,1824667
41,2,10529332,1354204
41,3,121675468,1615600
41,4,113759934,3439832
41,5,106241178,2372270
41,6,117696551,2781589
41,7,131918966,1145657
42,1,39189024,1774180
42,2,40208840,828369
42,3,42603592,1164966
42,4,41303042,1312461
42,5,46864132,939836
42,6,49639346,2042816
42,7,26858912,553718
43,1,493502986,6930096
43,2,523950857,6148910
43,3,596534761,7711975
43,4,648381669,9269550
43,5,756980175,12033862
43,6,717355951,8425861
43,7,671740789,6130321
44,1,188580465,3181329
44,2,230254574,3396889
44,3,258723935,4883645
44,4,274052331,6288206
44,5,306701321,5611726
44,6,252446006,4156754
44,7,228485713,2285936
45,1,1076853336,14791523
45,2,1160411930,10323164
45,3,1358874727,15691903
45,4,1477578301,16481920
45,5,1608439866,22540025
45,6,1614075733,18924240
45,7,1587379829,12302933
46,1,400776887,13167187
46,2,439405026,11588936
46,3,515789316,13164872
46,4,511546484,17560626
46,5,508739866,21897988
46,6,417518604,13886374
46,7,412916221,9281573
47,1,9124894,104514
47,2,8640154,64351
47,3,7561489,220480
47,4,13351122,260506
47,5,17648304,149896
47,6,13835781,177491
47,7,15799659,151138
48,1,14227234,225349
48,2,14662758,372707
48,3,13563646,266912
48,4,16049163,180843
48,5,7222573,141104
48,6,6470960,464746
48,7,7127968,51500
49,1,72009717,471987
49,2,81190936,382908
49,3,83294158,678766
49,4,101533560,928766
49,5,114551541,1873704
49,6,120071617,807600
49,7,127493896,320233
50,1,21790188,1084102
50,2,33262400,506559
50,3,31263030,673649
50,4,40355211,779146
50,5,35877383,857853
50,6,22915935,358744
50,7,19895890,376492
51,1,757821,0
51,2,757641,0
51,3,7335637,8431
51,4,7383931,8463
51,5,6786271,3686
51,6,656806,0
51,7,1043359,0
52,1,5029937,10887
52,2,6405035,103272
52,3,8962965,72445
52,4,6565558,38735
52,5,8298029,116024
52,6,8299929,283258
52,7,7765637,105850
53,1,23104764,175142
53,2,27125181,261911
53,3,29397033,330441
53,4,34084793,220702
53,5,34811381,221741
53,6,42012182,619084
53,7,34210076,364423
55,1,3016725,98664
55,2,2110339,82792
55,3,2978128,45235
55,4,4947120,129101
55,5,5245604,239601
55,6,3941599,156914
55,7,2935881,32762
56,1,12111455,315162
56,2,15593028,175347
56,3,20867120,232339
56,4,21410061,148191
56,5,20919053,148971
56,6,22824203,234977
56,7,7992500,35120
57,1,22794762,377559
57,2,16358650,225066
57,3,21397233,201408
57,4,24139786,258598
57,5,25935295,376629
57,6,26318495,583853
57,7,21513579,154282
58,1,0,0
58,2,2060821,0
58,3,450607,26867
58,4,3407286,0
58,5,1400342,0
58,6,0,0
58,7,1856138,0
59,1,39375739,183729
59,2,41660941,253380
59,3,41434679,343244
59,4,45915594,225532
59,5,48077645,105553
59,6,46190580,250581
59,7,48001269,60450
60,1,163342957,773290
60,2,88046040,950805
60,3,209330794,2318372
60,4,223405673,1966799
60,5,115906575,2083123
60,6,47200765,2481152
60,7,37125028,516619
61,1,1582136,33950
61,2,404018,0
61,3,2418832,0
61,4,2572060,18412
61,5,40020,0
61,6,91290,0
61,7,151329,0
62,1,20468845,302620
62,2,23377052,726287
62,3,26147695,292036
62,4,25801216,248576
62,5,36527190,1001047
62,6,33681736,142442
62,7,26612618,88206
63,1,24779341,186710
63,2,26577845,108013
63,3,25679916,166504
63,4,33945076,168370
63,5,32490822,477428
63,6,66772790,334805
63,7,8337246,50451
64,1,67597823,350694
64,2,72333674,185068
64,3,77305484,131137
64,4,86131464,477613
64,5,89236341,132406
64,6,116875583,305702
64,7,116536546,169213
65,1,27125589,289393
65,2,31026734,520115
65,3,31952471,733091
65,4,38678601,971153
65,5,50135420,552827
65,6,51349900,432620
65,7,46002657,141228
66,1,5490003,46512
66,2,5130725,33179
66,3,6346136,57335
66,4,7830414,79260
66,5,9003930,57728
66,6,4059519,15671
66,7,4345173,16932
67,1,12937143,53238
67,2,13812853,222145
67,3,14600120,152171
67,4,16720545,405253
67,5,18259745,895203
67,6,11611818,325950
67,7,12050112,259307
68,1,68136,0
68,2,228763,0
68,3,316733,0
68,4,266400,0
68,5,153959,0
68,6,94486,0
68,7,158993,0
69,1,3372342,12618
69,2,4957866,16738
69,3,4976225,79200
69,4,6110830,62141
69,5,7063073,49300
69,6,5378775,30529
69,7,5405090,18750
70,1,20012771,86790
70,2,22555092,54500
70,3,22996619,0
70,4,23139219,40874
70,5,26508048,185322
70,6,26721238,88744
70,7,26143975,32509
71,1,30697342,325094
71,2,33505572,730330
71,3,39007165,804643
71,4,45700829,656593
71,5,49336957,960338
71,6,45958189,839480
71,7,43258125,819031
72,1,28237602,559718
72,2,32931312,301679
72,3,33227406,342556
72,4,39383623,459514
72,5,39710664,369830
72,6,32135732,463212
72,7,29886290,138668
73,1,752034,0
73,2,857456,17000
73,3,798471,0
73,4,468790,0
73,5,609284,21563
73,6,499244,2550
73,7,341978,7600
74,1,149522987,2243821
74,2,155921438,2935172
74,3,149463133,2551411
74,4,156495587,2541658
74,5,132706576,3491156
74,6,104588639,2741726
74,7,79418153,1781270
75,1,25969226,936384
75,2,33107562,771134
75,3,37053424,1176644
75,4,40105604,2238470
75,5,42137626,1705827
75,6,44317286,2402206
75,7,42831726,998274
76,1,109727515,2505721
76,2,111250557,2600133
76,3,114566586,2366325
76,4,143133426,2936005
76,5,179852656,4980010
76,6,158632827,4554005
76,7,130277681,2170374
77,1,24657446,428505
77,2,27252047,584198
77,3,34313427,780737
77,4,48713355,568411
77,5,62463163,996150
77,6,62821338,1851949
77,7,58167406,1437342
78,1,4635081,71932
78,2,6676915,76044
78,3,7163162,1040582
78,4,7509642,278890
78,5,6091676,297011
78,6,4801644,16680
78,7,3798499,19570
79,1,26941444,1523050
79,2,27005374,726021
79,3,40925748,2227595
79,4,42794092,2241043
79,5,50533403,2686884
79,6,42853732,1235643
79,7,43151550,1339032
80,1,241242170,4064107
80,2,260050016,3507860
80,3,293874853,5673842
80,4,347610263,6600927
80,5,407206410,8076512
80,6,381240905,9048778
80,7,316827641,4835817
81,1,21834276,1116947
81,2,24289389,1156293
81,3,26590185,947665
81,4,33085882,1131602
81,5,37393442,1138077
81,6,37085072,1942467
81,7,29484404,1769216
82,1,484542478,5873364
82,2,516410679,5580000
82,3,612718970,6580660
82,4,778141048,8480126
82,5,933927586,11747286
82,6,837460151,11506309
82,7,823540456,6363269
83,1,337016621,8341391
83,2,383030593,7947246
83,3,444858785,9957382
83,4,494127462,10696279
83,5,573459505,14952185
83,6,460471568,11975633
83,7,411094525,8088591
84,1,1678351,268983
84,2,2766610,293717
84,3,683652,0
84,4,572365,0
84,5,1233345,0
84,6,790382,0
84,7,2410747,46983
85,1,19139111,146591
85,2,15250014,450069
85,3,5937661,120038
85,4,5748909,54334
85,5,6099707,79225
85,6,6393692,104842
85,7,6396749,54913
86,1,233478,0
86,2,7248724,38297
86,3,20372214,380450
86,4,24438753,599656
86,5,30284192,733591
86,6,25440184,541206
86,7,19053737,216545
87,1,2555760,3999
87,2,3793129,0
87,3,3516163,0
87,4,4147374,20000
87,5,5415438,10200
87,6,3949638,0
87,7,4637883,0
88,1,1882882,491155
88,2,595706,0
88,3,699763,9500
88,4,2642635,41239
88,5,880862,0
88,6,1031491,0
88,7,571529,0
89,1,433689,23110
89,2,579295,52965
89,3,1888551,129363
89,4,1062573,72931
89,5,764529,119664
89,6,575091,212263
89,7,518852,32000
90,1,992135,17446
90,2,1018086,18753
90,3,899186,0
90,4,1145576,96760
90,5,3892916,286605
90,6,2179505,29287
90,7,1374750,0
91,1,286652537,2468560
91,2,327549794,3401366
91,3,363596957,5422494
91,4,384610394,6009402
91,5,410095260,7682568
91,6,425206918,6919518
91,7,409026813,5092578
92,1,250065709,4785125
92,2,303706645,6422628
92,3,315668497,7722638
92,4,395667661,10047060
92,5,394518644,11384364
92,6,349603983,9324049
92,7,319726088,6369069
93,1,60318819,121210
93,2,74169286,32054
93,3,89774403,12235
93,4,102539406,58805
93,5,130862582,84184
93,6,157126568,696627
93,7,163636648,247033
94,1,36903323,350667
94,2,40984574,306021
94,3,39119635,497597
94,4,34256426,208057
94,5,30784622,526764
94,6,27546781,457679
94,7,22519552,159473
95,1,76861184,543694
95,2,84860361,559360
95,3,97459955,439502
95,4,91556250,302649
95,5,104160964,931385
95,6,108159477,641728
95,7,122262246,547258
96,1,22455361,574249
96,2,24508893,696819
96,3,24573769,672280
96,4,24264175,513825
96,5,22564774,533450
96,6,21114872,697521
96,7,19292975,757987
97,1,75482127,864694
97,2,83118489,839390
97,3,88285454,908835
97,4,100002977,1088671
97,5,110779799,2269138
97,6,102279747,1852660
97,7,90206335,1118383
98,1,653956492,4689667
98,2,590077975,4001950
98,3,563942403,5410725
98,4,671763488,3635426
98,5,721014971,7149183
98,6,747547369,5500193
98,7,675097746,4281574
99,1,192750431,2057381
99,2,211141349,2732913
99,3,229248184,2697519
99,4,245337377,4117435
99,5,287634618,4119698
99,6,293068300,4022960
99,7,273133614,3032105
100,1,21709931,177713
100,2,23832098,174695
100,3,25989455,155791
100,4,28210859,458737
100,5,33382788,372560
100,6,35185420,260230
100,7,38657390,118634
101,1,477018232,1916583
101,2,537842107,2218605
101,3,586805062,2382946
101,4,647922253,2360265
101,5,730285763,5256806
101,6,784741752,4312805
101,7,748156291,2634603
102,1,31405266,478173
102,2,36263323,872631
102,3,39662202,672755
102,4,45620069,920983
102,5,49803495,510466
102,6,48965697,739138
102,7,44321882,914435
103,1,59054933,1738019
103,2,72098358,2358683
103,3,79607959,2679043
103,4,80316693,3855668
103,5,90814765,4293751
103,6,76619602,242582
103,7,72978774,1418296
104,1,8678921,346227
104,2,9803526,354702
104,3,8784862,181314
104,4,9394166,400532
104,5,10068619,114668
104,6,9650435,156866
104,7,8764544,198038
105,1,514054148,5610971
105,2,557293311,5608315
105,3,606081740,5094525
105,4,291197602,3413845
105,5,302054660,4433195
105,6,283185968,3833388
105,7,272699866,3606637
106,1,4147121,13100
106,2,4538955,0
106,3,4790566,222410
106,4,4937697,76865
106,5,6350938,29800
106,6,5599943,346534
106,7,5245733,52363
107,1,48764143,21015
107,2,54368435,26185
107,3,70495113,60000
107,4,83575874,48904
107,5,94560530,97347
107,6,110016620,77243
107,7,115686229,289763
108,1,220681335,2680864
108,2,237076525,3533857
108,3,263297154,4362730
108,4,284208600,5659167
108,5,299761668,6522245
108,6,290714989,6439913
108,7,229984443,5159319
109,1,18690811,553599
109,2,21991832,686131
109,3,25431630,373331
109,4,29757498,621559
109,5,29583030,930449
109,6,31972861,625163
109,7,29803131,303244
110,1,18370543,421173
110,2,19169416,476994
110,3,20941825,200669
110,4,21343008,155689
110,5,21285402,329873
110,6,23113364,300760
110,7,24134032,183234
111,1,14092284,444330
111,2,13612973,551408
111,3,14699823,609969
111,4,17100322,736448
111,5,18024042,781660
111,6,15469163,651095
111,7,14063564,731923
112,1,3416861519,2052161
112,2,3784782293,2779991
112,3,4284555751,2814303
112,4,4866862481,4196086
112,5,5559891691,6202670
112,6,5948227717,5357248
112,7,6137275140,6633541
113,1,690442346,2841730
113,2,630445853,3072933
113,3,470504472,2469680
113,4,462726271,1737875
113,5,347548389,1698106
113,6,269458657,1457243
113,7,302096838,706363
114,1,1773712734,1912434
114,2,2169653363,1863796
114,3,2253443315,1708796
114,4,2262445806,2437372
114,5,2140274698,2723582
114,6,1892565179,2069504
114,7,1886357964,1014231
115,1,61527503,384495
115,2,57870396,593615
115,3,70838124,266751
115,4,76543560,400315
115,5,91358603,1085454
115,6,98839324,471234
115,7,95944888,418734
116,1,142604414,567583
116,2,153758493,512948
116,3,187642951,1419591
116,4,211609452,895304
116,5,258710007,819245
116,6,257181827,1231375
116,7,272490770,733850
117,1,58773481,956162
117,2,58952303,1212906
117,3,62416901,885291
117,4,65321406,576135
117,5,55164886,632216
117,6,32777500,916972
117,7,30099988,431813
118,1,22640141,353000
118,2,26982541,300183
118,3,25879842,514545
118,4,32376841,556276
118,5,31025023,426913
118,6,34728096,682990
118,7,28692495,69744
119,1,1223456875,2018392
119,2,1434190104,1698731
119,3,1621261681,2602445
119,4,1976427753,2691596
119,5,2240090280,4959226
119,6,2257188913,5748591
119,7,2142352263,3234049
120,1,480721919,5930220
120,2,489791825,6883545
120,3,468110661,7867316
120,4,477107053,8691719
120,5,435089059,8643069
120,6,398898500,7134252
120,7,412578720,6249488
121,1,17532972,6961
121,2,19607417,83190
121,3,22462641,98328
121,4,22253695,101140
121,5,24729365,148597
121,6,29264458,128268
121,7,28043076,112138
122,1,688447555,4742669
122,2,821766634,5096536
122,3,830349943,6008706
122,4,955695913,7061399
122,5,1048747380,9200630
122,6,1080858674,10075347
122,7,1053140929,6244481
123,1,36052962,205307
123,2,40316407,340822
123,3,39483537,158653
123,4,42927612,128628
123,5,44164598,143564
123,6,37715617,461927
123,7,34613171,375239
124,1,3788569,57571
124,2,4216515,46100
124,3,5397424,150931
124,4,5585309,196756
124,5,5623680,367050
124,6,4792099,229725
124,7,3544705,161360
